"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"State"	"MaxFC"	"InitialState"
"MYH7"	"MYH7"	-0.0232774674115456	-0.0217391304347826	-0.0213219616204691	-0.0240500240500241	-0.0221827861579414	-0.0205170291341814	-0.0213310580204778	-0.0230308613542146	3.57142857142857	-0.0206100577081616	-0.020669698222406	-0.0209380234505863	-0.0226963231956423	"S01"	3.57142857142857	"IS09"
"IGLV1-36"	"IGLV1-36"	-0.0232774674115456	-0.0217391304347826	-0.0213219616204691	-0.0240500240500241	-0.0221827861579414	-0.0205170291341814	-0.0213310580204778	-0.0230308613542146	3.57142857142857	-0.0206100577081616	-0.020669698222406	-0.0209380234505863	-0.0226963231956423	"S01"	3.57142857142857	"IS09"
"MGAM2"	"MGAM2"	-0.0327898167637202	0.143321829134621	-0.0300351924982819	-0.0338780790805537	-0.0312477934376535	-0.028901323926332	-0.0300480061469587	-0.0324424350108112	2.73189041397078	-0.0290323686762041	-0.0291163813180947	-0.0294943577924921	-0.0319711876570454	"S01"	2.73189041397078	"IS09"
"ZNF80"	"ZNF80"	-0.0104750723697748	0.275659419629918	-0.0495330714827424	0.00368049778138697	-0.0982581491329506	-0.0182599249613433	-0.0840671785161551	-0.029070500341605	1.73407274864781	-0.138494035426992	0.0364843052765553	-0.0811199244815124	-0.0248400749629937	"S01"	1.73407274864781	"IS09"
"TRAV8-2"	"TRAV8-2"	-0.034604724302424	-0.0505942990668678	-0.130624091580071	-0.0228786405723489	-0.0610137847740613	-0.125692857921734	-0.130679818581598	-0.077762040996611	1.67543807363104	-0.126262776073894	-0.0162564398033418	0.142288175530048	0.310079086464989	"S01"	1.67543807363104	"IS09"
"ADARB2"	"ADARB2"	-0.0355329333677785	-0.0985000936284281	0.0779183657492111	-0.050800190219834	-0.0408575944400726	-0.0929627473719264	0.0840049618682111	-0.10435293198774	1.66600557607985	-0.0933842602412962	-0.0936544916682036	0.0214512392209375	0.214671509563095	"S01"	1.66600557607985	"IS09"
"ZCCHC12"	"ZCCHC12"	-0.0780111176438852	0.0125283536092123	0.00807794789950941	-0.138828988985189	-0.159801163961881	-0.147801322761624	-0.0972277331338873	-0.143888555850791	1.35390211394056	-0.0706125379718685	-0.148901125907432	-0.0213881043540463	0.644778918323907	"S01"	1.35390211394056	"IS09"
"TRBV7-3"	"TRBV7-3"	-0.0115059906332146	-0.0756149024166792	-0.0741638701741416	-0.0836528501964224	-0.0771580636904889	-0.0713640851696192	-0.0741955100504958	-0.0801079113580664	1.27235213017948	0.0735665546680712	-0.0718951118471939	-0.0728284236006541	0.394045761907478	"S01"	1.27235213017948	"IS09"
"CAGE1"	"CAGE1"	0.0390184380604394	0.11002388906038	-0.0597329592331511	-0.0130551613262543	-0.0621445383326261	-0.0574779603618134	-0.0597584425775338	-0.0645204004614184	1.23256604470405	-0.0577385776594144	-0.0579056591160559	-0.058657365746122	0.0897849318244797	"S01"	1.23256604470405	"IS09"
"CHGB"	"CHGB"	-0.0157914999038178	0.143198232746854	-0.0647771310394114	0.0576280271718353	-0.0497669358647866	-0.116855805510569	-0.121492149329887	-0.131173467539961	1.22374598740582	0.230436325485628	0.205204565001203	-0.119253600514764	0.0161313879899242	"S01"	1.22374598740582	"IS09"
