"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"State"	"MaxFC"	"InitialState"
"TRBV10-1"	"TRBV10-1"	0.0616673462538372	4.19682684808477	-0.0465523945927982	-0.048138933601342	-0.0576839451536769	-0.0467347940491914	-0.0480957983561795	-0.0451999250235759	-0.0435672978616042	-0.0470626137356391	-0.0457586623746772	"S01"	4.19682684808477	"IS02"
"COMMD3-BMI1"	"COMMD3-BMI1"	-0.0235294117647059	2.94117647058824	-0.0216825672159584	-0.0224215246636771	-0.0268672756582483	-0.021767522855899	-0.0224014336917563	-0.0210526315789474	-0.0202922077922078	-0.0219202104340202	-0.0213128729752771	"S01"	2.94117647058824	"IS02"
"MAGEC2"	"MAGEC2"	-0.0235294117647059	2.94117647058824	-0.0216825672159584	-0.0224215246636771	-0.0268672756582483	-0.021767522855899	-0.0224014336917563	-0.0210526315789474	-0.0202922077922078	-0.0219202104340202	-0.0213128729752771	"S01"	2.94117647058824	"IS02"
"SH2D5"	"SH2D5"	-0.0235294117647059	2.94117647058824	-0.0216825672159584	-0.0224215246636771	-0.0268672756582483	-0.021767522855899	-0.0224014336917563	-0.0210526315789474	-0.0202922077922078	-0.0219202104340202	-0.0213128729752771	"S01"	2.94117647058824	"IS02"
"TRBV4-1"	"TRBV4-1"	0.183920490243884	2.60917043253461	-0.0528069942512013	-0.0546066945037086	-0.0654341368851533	-0.0530139001929779	-0.0545577637738666	-0.0512728121024296	-0.0494208314704831	-0.0533857644643885	-0.0519066192426557	"S01"	2.60917043253461	"IS02"
"TRBV6-2"	"TRBV6-2"	0.113302093346066	2.02872749850905	0.113210154927908	-0.057230207738167	-0.118460047510982	0.0220545347465374	-0.0578764341809297	0.0968886137217925	-0.0894700277670198	-0.0275872696101871	-0.0939702252420873	"S01"	2.02872749850905	"IS02"
"CDH20"	"CDH20"	0.0266802358180539	1.85266418548405	-0.0369916495319624	-0.0382523514891055	-0.0458370466527164	0.135190484327307	-0.038218075188488	-0.0359169447666127	-0.0346196200571044	-0.0373970819029835	-0.0363609308698658	"S01"	1.85266418548405	"IS02"
"BICRA"	"BICRA"	0.174706743591536	1.66457827764551	-0.0272271544084503	-0.0885169692646401	-0.106068157689493	0.301178127962784	-0.088437652983937	-0.083112775351641	-0.0801107311120728	-0.0865378524595122	-0.0841401711253825	"S01"	1.66457827764551	"IS02"
"IL22"	"IL22"	0.00489796770466817	1.64537509193333	-0.110437809681515	-0.0287249977881808	-0.02466436838552	0.181012592095062	-0.0795153089662369	-0.0197512449078811	-0.103356164417847	0.0106445733916351	-0.0123184039720911	"S01"	1.64537509193333	"IS02"
"CA5B"	"CA5B"	0.304799733825711	1.64526322605359	-0.0678334330522156	-0.0707450008094462	-0.0897217608653027	-0.0340785228089248	-0.126215742069832	-0.018671972854882	-0.235748895756126	-0.0164855781717287	-0.0183191663613688	"S01"	1.64526322605359	"IS02"
"TNFRSF10A"	"TNFRSF10A"	0.260860934317076	1.54285566470912	-0.0227428657849368	0.0583820881688079	-0.156160588298832	0.0101289876437344	-0.202262844318018	-0.030049510477173	0.540670854700225	-0.0400427441245371	-0.0416396642850691	"S01"	1.54285566470912	"IS02"
"TRDMT1"	"TRDMT1"	0.127907043158663	1.24852683326449	0.0443342626624023	0.0473131767357061	-0.116019414517872	-0.186695580581533	-0.0201175654266177	0.187678229286066	-0.174042105761275	0.00406391573353456	-0.0226995123592557	"S01"	1.24852683326449	"IS02"
"TRAV30"	"TRAV30"	0.192512161337767	1.14824286063258	-0.0608645156332935	-0.0629388219956838	-0.0754183627352901	-0.0611029921856225	-0.0628824252017808	0.257497355461722	-0.0569616773743404	-0.0615315971286167	-0.0598267574809782	"S01"	1.14824286063258	"IS02"
"CCR4"	"CCR4"	0.27286862354241	1.04760530985855	-0.118166509332079	0.182361529233855	-0.176077819011091	0.112798099823101	-0.247555327290276	0.0511879755100682	-0.131551406610087	-0.0971033348668711	0.0865066910634053	"S01"	1.04760530985855	"IS02"
"ITK"	"ITK"	0.328331610349565	1.03545766724038	0.0339854233598169	-0.00592182893308183	-0.326824796768659	0.195240186924057	-0.181435352954925	0.231262807432922	0.434849899722545	-0.056840529464292	0.0285770450576741	"S01"	1.03545766724038	"IS02"
"STN1"	"STN1"	0.591217544136548	0.995201273229039	-0.189216432903414	0.242236914392931	-0.26801458722451	-0.0198380639238684	-0.0873547103774501	-0.210010588136763	0.0311495440493871	-0.115548235002624	-0.212606626950048	"S01"	0.995201273229039	"IS02"
"FYB1"	"FYB1"	0.85942893781671	0.995109602290922	-0.331685443859028	0.738961382104235	-0.863911461199953	0.470448267426836	0.0176134089182507	-0.397571517175058	0.0997488061010602	0.204577825918901	-0.606106409532829	"S01"	0.995109602290922	"IS02"
"ANK3"	"ANK3"	0.186274975729479	0.913531678628961	-0.157265335590087	0.08076298375022	-0.170565175685752	0.11715965699216	-0.122788634386366	0.144841623940371	-0.0362805490772637	0.0468835231788035	-0.0188827345310338	"S01"	0.913531678628961	"IS02"
"ETFRF1"	"ETFRF1"	0.396182754529513	0.799802536024254	-0.124475800721422	-0.0455589781493116	-0.19809599816576	0.0219155539743725	0.144269123482284	-0.0994908527117257	0.252455997237771	-0.126880347023349	-0.15714264816133	"S01"	0.799802536024254	"IS02"
"MBP"	"MBP"	0.265084082068949	0.759764547102727	0.222317010979926	-0.420620012678351	-0.219539169024443	0.0674125841731603	0.00483900520721476	-0.076729402211743	0.211028065194084	0.0302355435938065	0.349277767983894	"S01"	0.759764547102727	"IS02"
"TRBV2"	"TRBV2"	0.403178404904574	0.752932794290852	-0.0830400334473141	-0.0858700973674916	-0.102896462724076	-0.0190170311639047	-0.0857931528358003	-0.011266029875113	-0.0777152261077542	-0.0839501609511207	-0.0816241760995338	"S01"	0.752932794290852	"IS02"
"CD28"	"CD28"	0.29689093886891	0.739900446576994	-0.132458898604483	0.24790712579701	-0.264403023162256	0.0896200212487281	-0.265545659547596	-0.0219982941888046	-0.00784385790813091	-0.0931202867231218	0.352619688329344	"S01"	0.739900446576994	"IS02"
"GCNT4"	"GCNT4"	-0.0969843861478541	0.732882802397918	0.210545508393428	0.00234278059019017	-0.0777076947098064	-0.0183657732745428	0.0534490237767612	-0.0156054722930401	-0.0315871640613592	-0.0316986794011232	0.119068065436386	"S01"	0.732882802397918	"IS02"
"ARHGAP15"	"ARHGAP15"	0.17822887424506	0.732826417006209	-0.0494544917468897	-0.156603360793231	-0.0866601045508217	0.0130116928740885	-0.0741453394804056	-0.0970203799882546	0.209409626557386	0.188325750921747	0.00261864076202647	"S01"	0.732826417006209	"IS02"
"NAA80"	"NAA80"	0.353565057869984	0.691925178779198	-0.0963818811985922	-0.0996666448627595	-0.119428596477138	0.116498938857982	-0.00241121705429117	-0.0935817339132436	-0.0902015495308253	-0.0974382367575422	-0.0947385413657092	"S01"	0.691925178779198	"IS02"
