"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"	"InitialState"
"JPT1"	"JPT1"	-0.0519724395682219	-0.382917904721207	-0.0573383582560757	1.68756516296793	-0.208412769621032	-0.0316021259131879	-0.189293085429029	"S01"	1.68756516296793	"IS04"
"CNOT9"	"CNOT9"	0.0298281463884047	-0.2263898923088	-0.0685257206918382	1.29606058313315	-0.174253294422567	-0.112732752387915	-0.159510105298019	"S01"	1.29606058313315	"IS04"
"BICDL1"	"BICDL1"	0.0388732982879155	-0.16955178788735	-0.127660546592785	1.16202490619611	-0.105946813232657	-0.154639308146456	-0.134804704819782	"S01"	1.16202490619611	"IS04"
"HPF1"	"HPF1"	0.111000666371205	-0.219559014890443	-0.12698505289498	1.1049639863168	-0.157449786279438	-0.126064823540816	-0.0557852030857524	"S01"	1.1049639863168	"IS04"
"TEDC1"	"TEDC1"	0.0344360340478662	-0.185447361722444	-0.120802004681443	1.07258151602338	-0.166305974124415	-0.0324893760327839	-0.103388675080089	"S01"	1.07258151602338	"IS04"
"CENPX"	"CENPX"	0.122876530689741	-0.277285078503492	-0.0100402906448413	1.07158400142079	-0.166241307426176	-0.164017127218574	-0.0492775546549061	"S01"	1.07158400142079	"IS04"
"CGAS"	"CGAS"	0.00572621203383322	-0.213416489844955	-0.0957527805488588	1.01917174238153	-0.144378977557253	-0.0812385552656193	-0.0272596127528242	"S01"	1.01917174238153	"IS04"
"UFD1"	"UFD1"	0.0236277044551755	-0.275480242600233	0.0784706461960923	0.955709739017078	-0.250784105663595	-0.0156288883176422	-0.0401673858493333	"S01"	0.955709739017078	"IS04"
"CIP2A"	"CIP2A"	0.0896381942096789	-0.200865592262693	-0.0965273024602431	0.939665273968167	-0.146304420808061	0.0971264014191571	-0.195311264052	"S01"	0.939665273968167	"IS04"
"KNL1"	"KNL1"	0.0229404201167847	-0.245370196072746	-0.0698662686289503	0.930878428407693	-0.144210364769737	0.197133051337485	-0.20499743839336	"S01"	0.930878428407693	"IS04"
"NSD3"	"NSD3"	0.304830228990125	-0.502459294027396	-0.0309515517439165	0.904464878447777	-0.350992171257696	0.262401600586213	0.071065925063937	"S01"	0.904464878447777	"IS04"
"ALYREF"	"ALYREF"	0.551971883513151	-0.316442497641627	-0.0575011376118242	0.888032977929008	-0.375984634291819	0.046832212577236	-0.0725472121085911	"S01"	0.888032977929008	"IS04"
"ZBTB11"	"ZBTB11"	0.0327622608167898	-0.224212218875292	0.0171636399367379	0.84475794715932	-0.19692772494633	0.025922103029885	-0.0741308743029028	"S01"	0.84475794715932	"IS04"
"PRKDC"	"PRKDC"	0.496148374341439	-0.463241799348652	0.164038187238523	0.842043315302523	-0.365523179461842	-0.0776840770123982	0.0404073214806516	"S01"	0.842043315302523	"IS04"
"MBD2"	"MBD2"	0.210525129020978	-0.26892417448336	0.0998024129128695	0.83736455145403	-0.328061869041019	0.167350947318996	-0.189378949906228	"S01"	0.83736455145403	"IS04"
"MBNL1"	"MBNL1"	0.0584328724694527	-0.257535924192042	-0.00729974026497262	0.80976894701386	-0.398833493063332	0.3007975212225	-0.0167704054034226	"S01"	0.80976894701386	"IS04"
"FYB1"	"FYB1"	0.203208735289894	-0.630422609508255	-0.0177299744897391	0.808857152546485	-0.291346618702008	0.424336450525263	0.136988393619955	"S01"	0.808857152546485	"IS04"
"HSP90AA1"	"HSP90AA1"	0.315993214758665	0.0124034413309018	0.0592583547929153	0.806722922423216	-0.652358735512291	0.163301323121354	-0.189838730517763	"S01"	0.806722922423216	"IS04"
"MYH9"	"MYH9"	0.0878395322951845	-0.393788982596839	0.038299429916815	0.805319608729528	-0.286098944518898	0.215536872951775	0.0371915056501988	"S01"	0.805319608729528	"IS04"
"GNAI2"	"GNAI2"	0.145875106188418	-0.312276385066711	0.018650385442573	0.796857519121911	-0.515236043536024	0.347605589885462	0.0613350938105302	"S01"	0.796857519121911	"IS04"
"FAM107B"	"FAM107B"	0.00148660184290159	-0.421936951045546	0.249276200434092	0.788664976477856	-0.250220679274799	0.239421512034168	-0.132364620864065	"S01"	0.788664976477856	"IS04"
"TNFAIP3"	"TNFAIP3"	-0.333074355510068	0.116647435121585	0.0880148612004472	0.788249448650378	-0.251716112341381	0.0474423489175029	-0.250106765962205	"S01"	0.788249448650378	"IS04"
"WNK1"	"WNK1"	0.0193537617964051	-0.182917997691902	0.0316098764805529	0.780112669173642	-0.341751869135953	0.208530444845848	-0.0884362915746911	"S01"	0.780112669173642	"IS04"
"SMC5"	"SMC5"	0.215395793109516	-0.118079276934728	-0.0975133523122246	0.778367715465124	-0.2466793919884	-0.0194688250258169	-0.0761565333794245	"S01"	0.778367715465124	"IS04"
"RASGRP1"	"RASGRP1"	-0.14393746864773	-0.125260612479466	0.133843008835212	0.774554034177887	-0.288107598254302	0.054035742745786	-0.0813872364792496	"S01"	0.774554034177887	"IS04"
"LCP1"	"LCP1"	0.162100780429137	-0.136057751993155	0.0378085177037729	0.767418702518206	-0.66416409541269	0.140812952164157	0.16644821314504	"S01"	0.767418702518206	"IS04"
"SUZ12"	"SUZ12"	0.389843391344937	-0.336022752091211	-0.0914235780546806	0.759923949246115	-0.340235016820212	0.22968921306529	-0.0250857052352973	"S01"	0.759923949246115	"IS04"
"GNB1"	"GNB1"	0.184878997848489	-0.328996294066072	0.096989711573156	0.752337795721795	-0.335802713185574	0.270256637740071	-0.123896683516302	"S01"	0.752337795721795	"IS04"
"SYNE2"	"SYNE2"	0.247890823143204	-0.193376220416605	-0.196674011813658	0.746031046259827	-0.252157116711568	0.311484041886359	-0.156633142833982	"S01"	0.746031046259827	"IS04"
"GNAS"	"GNAS"	0.263179612434372	-0.361539195791794	-0.0229983840220009	0.74586038014329	-0.469971084812581	0.204118794267098	0.188277176787442	"S01"	0.74586038014329	"IS04"
"PRRC2C"	"PRRC2C"	-0.020590224565776	-0.111679557174635	0.126734140118207	0.738473308975468	-0.552553745860946	0.256607331517928	-0.0335370563956174	"S01"	0.738473308975468	"IS04"
"DIAPH1"	"DIAPH1"	0.122069556924204	-0.27301262485432	0.115127066143207	0.734975722233793	-0.355303812072682	0.119474915508892	-0.0130515516056216	"S01"	0.734975722233793	"IS04"
"MSN"	"MSN"	0.101147937284367	-0.116485762782614	-0.0168494712592236	0.73032341608448	-0.636083599401307	0.189049745367538	0.188168865109954	"S01"	0.73032341608448	"IS04"
"DUSP16"	"DUSP16"	-0.197902019555139	-0.147368259310888	0.324726651227846	0.728604249789368	-0.211005608260544	-0.0163500287735865	-0.207629353937673	"S01"	0.728604249789368	"IS04"
"ACTR2"	"ACTR2"	0.136527082967602	-0.31290821139008	0.0980458473848684	0.725871871254893	-0.383553636379928	0.348906078746835	-0.11188693077552	"S01"	0.725871871254893	"IS04"
"HSPD1"	"HSPD1"	0.335738067694704	-0.198481362360718	0.299680205352731	0.719338801167191	-0.433762624522539	-0.176868367588685	-0.0860924787188372	"S01"	0.719338801167191	"IS04"
"JAK1"	"JAK1"	0.0462677138333708	-0.41760724362569	0.171924112424195	0.715796191865459	-0.485936518673125	0.187113447494798	0.250677879497429	"S01"	0.715796191865459	"IS04"
"NSD2"	"NSD2"	0.382400479111314	-0.42700594669444	-0.215721526406478	0.712645060083338	-0.2221618636351	0.392314810877825	-0.0193716288478126	"S01"	0.712645060083338	"IS04"
"BCL11B"	"BCL11B"	0.0727393121252619	-0.241179295864434	0.113958525562754	0.711050823833596	-0.151019707504139	0.199689367710161	-0.290978901980474	"S01"	0.711050823833596	"IS04"
"HDGF"	"HDGF"	0.134015152705568	-0.363706941342521	0.0364041642223853	0.710433035556389	-0.355516110780323	0.636644547752028	-0.247189112381073	"S01"	0.710433035556389	"IS04"
"STK24"	"STK24"	0.177369618189601	-0.311676294966536	0.112073764897407	0.708117433902029	-0.274575813372028	0.214069259852383	-0.148141450152445	"S01"	0.708117433902029	"IS04"
"YY1"	"YY1"	0.304717041445544	-0.30944721126288	0.177235215431965	0.704449527520191	-0.37722763279291	0.0657683624746453	-0.0622759808279642	"S01"	0.704449527520191	"IS04"
"PCM1"	"PCM1"	0.171951348696881	-0.245766947241602	-0.0833517907241301	0.698255501940971	-0.261105754190184	0.279117999297361	-0.0923366282466353	"S01"	0.698255501940971	"IS04"
"CHD8"	"CHD8"	0.1340007762061	-0.216201726992223	0.00250293371451217	0.69467034623903	-0.30052759136821	0.104782708719117	-0.000177736038695198	"S01"	0.69467034623903	"IS04"
"ITGAL"	"ITGAL"	0.00928539134740282	-0.107778193301232	-0.00419814615818351	0.690898083614929	-0.284302176097878	0.128858553111918	-0.0804217470453887	"S01"	0.690898083614929	"IS04"
"SENP1"	"SENP1"	0.182691353281179	-0.195959132709773	-0.0433960925317466	0.690034316013447	-0.182899114218478	0.0758984335431916	-0.109964872398239	"S01"	0.690034316013447	"IS04"
"HUWE1"	"HUWE1"	0.0256114320749509	-0.282778964621227	0.0673633995327941	0.688941280140276	-0.328017245386242	0.30885626409405	-0.0509004323809655	"S01"	0.688941280140276	"IS04"
"BAZ1B"	"BAZ1B"	0.452568173553996	-0.256263323351848	-0.00268770911850012	0.683324417719262	-0.342129800162175	0.000708149864551862	-0.0136253714476595	"S01"	0.683324417719262	"IS04"
"TOX2"	"TOX2"	-0.0894695044642707	-0.164390248781045	0.311784780696848	0.680307577801223	-0.0573607018748294	-0.20579928093065	-0.222758164577066	"S01"	0.680307577801223	"IS04"
"TLN1"	"TLN1"	0.186746083759521	-0.298806800009352	0.0169587872270729	0.678045566952268	-0.499910844410294	0.348204765848277	0.0734814076336669	"S01"	0.678045566952268	"IS04"
"TRBC1"	"TRBC1"	-0.351465953058395	0.418421166415842	0.0323466155301771	0.67794236412433	-0.0402461878689885	-0.423922109855377	-0.320119870789348	"S01"	0.67794236412433	"IS04"
"GPRIN3"	"GPRIN3"	0.00206516008891419	-0.312874136571139	0.0448124823940268	0.67668064619359	-0.274633375912887	0.248410665305438	0.02371231354843	"S01"	0.67668064619359	"IS04"
"APBB1IP"	"APBB1IP"	0.0574413337017532	-0.159728266132398	-0.0135375846654771	0.665334998124934	-0.493370738409319	0.23090073857581	0.115983679113039	"S01"	0.665334998124934	"IS04"
"RIF1"	"RIF1"	0.448902294722501	-0.184663834554087	-0.106898388798949	0.665011706383899	-0.267882054092509	-0.07301582960582	-0.00191408170983694	"S01"	0.665011706383899	"IS04"
"SOCS4"	"SOCS4"	0.0966961664652207	-0.199701428221152	-0.0739675227008019	0.664074252224474	-0.175221206906371	-0.0116174795434686	0.060563435200825	"S01"	0.664074252224474	"IS04"
"TNFRSF1B"	"TNFRSF1B"	-0.167869709979293	-0.0157238439132516	0.546857093847137	0.661822513942332	-0.491933182589849	-0.239010404194646	-0.0829696121944842	"S01"	0.661822513942332	"IS04"
"N4BP1"	"N4BP1"	0.0449477085837701	-0.00492726743478131	-0.0157016636477127	0.660004495566387	-0.289589586100977	0.0489597111971224	-0.126846752417732	"S01"	0.660004495566387	"IS04"
"HNRNPUL1"	"HNRNPUL1"	0.139997262413122	-0.198625716244579	0.0234782147985146	0.659101081099728	-0.310647579601624	0.313378115274458	-0.188161087390847	"S01"	0.659101081099728	"IS04"
"UBE2M"	"UBE2M"	0.302964067862174	-0.309753704798269	0.0626826893756175	0.654303569477266	-0.358306979243277	0.173087833575224	-0.0262384748464455	"S01"	0.654303569477266	"IS04"
"PREX1"	"PREX1"	0.0477183610088464	-0.183876250132136	-0.047913678397499	0.653764958956903	-0.232431842334559	0.0167837404992588	0.0907375342845883	"S01"	0.653764958956903	"IS04"
"RCC2"	"RCC2"	0.178381643545463	-0.206148287937115	0.0130522120679215	0.652490209421217	-0.316126159961089	0.110387753634048	-0.0145906306415418	"S01"	0.652490209421217	"IS04"
"RBL1"	"RBL1"	0.192689518604166	-0.13446133943705	-0.150017777891566	0.652038644072098	-0.1217557839607	-0.106905948650334	0.0241496721338288	"S01"	0.652038644072098	"IS04"
"XPO1"	"XPO1"	0.277451561643597	-0.278411681147748	-0.0641623608859416	0.650418503281733	-0.242382657866315	0.281243738817837	-0.133411165437314	"S01"	0.650418503281733	"IS04"
"MTA2"	"MTA2"	0.0175291625232555	-0.283007311644581	-0.000657548726147174	0.650033243034278	-0.0251951693840659	0.0313415458585337	-0.0487984936381285	"S01"	0.650033243034278	"IS04"
"XRN1"	"XRN1"	-0.137473485549002	-0.07411221376274	-0.076185852259733	0.649558696012451	-0.293253828884195	0.164192807332434	0.0498336143596264	"S01"	0.649558696012451	"IS04"
"ETS1"	"ETS1"	-0.108078576591173	-0.121457894197174	-0.0393017410283193	0.648114042010909	-0.294139655551743	0.290260202630811	-0.0514220226595125	"S01"	0.648114042010909	"IS04"
"SAMD1"	"SAMD1"	0.493254812541536	-0.281076806944276	-0.131210592612	0.642567877273145	-0.350982163830827	0.16945908565723	0.012042471037528	"S01"	0.642567877273145	"IS04"
"NUP153"	"NUP153"	0.0465189096494349	-0.104212281958037	0.0500521097759603	0.638641028776118	-0.15571707151574	-0.061433056279665	-0.111943270643038	"S01"	0.638641028776118	"IS04"
"MBD3"	"MBD3"	0.101747942820846	-0.144384236242041	0.0559189668590004	0.636104913445568	-0.215234557370483	-0.0233792930803828	-0.0706965284893373	"S01"	0.636104913445568	"IS04"
"DYNLL2"	"DYNLL2"	0.229180247294186	-0.118086183364747	-0.00416090589844011	0.634694342302926	-0.237465201177411	-0.0683015443803963	-0.0627611552240187	"S01"	0.634694342302926	"IS04"
"OPA1"	"OPA1"	0.119705051419081	-0.251430118407812	0.103719011436909	0.633213193707795	-0.292527891019085	0.106878059083555	-0.0232628075608108	"S01"	0.633213193707795	"IS04"
"IL12RB2"	"IL12RB2"	-0.145081648063204	-0.201545749120346	0.299305320919115	0.628221025463138	-0.0986456219584685	-0.121977237864322	-0.123749815166962	"S01"	0.628221025463138	"IS04"
"NCL"	"NCL"	0.426123937113865	-0.206526342218677	0.162026365290165	0.627374114039939	-0.499949146937137	-0.139781511240326	0.0976494355249674	"S01"	0.627374114039939	"IS04"
"HIPK1"	"HIPK1"	0.0288253070443198	-0.13209030154157	-0.0515476134406781	0.627185335762408	-0.230455479973354	0.186165861965183	-0.0839501341871173	"S01"	0.627185335762408	"IS04"
"MCM4"	"MCM4"	0.526290690801035	-0.10403310595519	0.0700542107314655	0.62441450614057	-0.318075811287938	-0.387854465139578	0.0128884267172394	"S01"	0.62441450614057	"IS04"
"RBM25"	"RBM25"	0.127535226785706	-0.134890217098572	0.0904264837092849	0.624113220213068	-0.517146396686017	0.26669036187058	-0.0433516994743005	"S01"	0.624113220213068	"IS04"
