"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"GZMK"	"GZMK"	-0.273108042095693	-0.0268995607406968	0.879292625023908	-0.25911851885141	-0.0099993644335177	-0.538980334520477	"S01"	0.879292625023908	"IS03"
"CCL3L3"	"CCL3L3"	-0.0563027619954784	-0.226530778941625	0.772552048592139	-0.300225882721737	-0.208438873369517	-0.287351799503429	"S01"	0.772552048592139	"IS03"
"GZMH"	"GZMH"	-0.339942243852241	-0.416933343016644	0.771042329263656	-0.396617395236947	0.497258724020418	-0.538183132844555	"S01"	0.771042329263656	"IS03"
"CCL4L2"	"CCL4L2"	-0.25776703212628	0.151975623840678	0.723538252513889	0.174218697082529	-0.388857131571794	-0.331284752228574	"S01"	0.723538252513889	"IS03"
"LY6E"	"LY6E"	-0.3182705817259	-0.79373594517954	0.60263020257083	0.06187389841477	0.340127563926037	-0.196903850581712	"S01"	0.60263020257083	"IS03"
"RGCC"	"RGCC"	-0.198575869957132	0.498366033331576	0.583308547719519	-0.135815164415782	-0.237715961672663	-0.460896155260461	"S01"	0.583308547719519	"IS03"
"TRBC1"	"TRBC1"	-0.327955453953875	0.539361961855201	0.576361020531477	0.217235433314198	-0.532691072093815	-0.19001172107464	"S01"	0.576361020531477	"IS03"
"COTL1"	"COTL1"	-0.405928617942514	-0.282058093486492	0.549658793531716	-0.28608388599848	0.268449715161647	-0.0665157874763453	"S01"	0.549658793531716	"IS03"
"LEPROTL1"	"LEPROTL1"	-0.0968557273945454	-0.4095166394935	0.516440258381672	0.063564278788538	-0.218245089504049	-0.00481573800595632	"S01"	0.516440258381672	"IS03"
"TUBA4A"	"TUBA4A"	-0.217924126712681	0.0112264516743157	0.496927327552471	-0.0170314349034206	-0.0664872754914487	-0.251458285259988	"S01"	0.496927327552471	"IS03"
"RPL27A"	"RPL27A"	0.440131383616816	-0.582671797847167	0.482839257836329	-1.15237790984109	0.0179488858767096	-0.0330246437350408	"S01"	0.482839257836329	"IS03"
"CRIP1"	"CRIP1"	-0.280503728859851	-0.576307591361503	0.474450316471123	0.190023915051107	0.103369751230317	-0.0481469450578303	"S01"	0.474450316471123	"IS03"
"HLA-C"	"HLA-C"	-0.298819061321637	-0.813396862344857	0.462397292329575	0.260285789043348	0.226892146860379	-0.0286203288198468	"S01"	0.462397292329575	"IS03"
