"C103"	"C104"	"C105"	"C106"	"C107"	"C110"	"C111"	"C112"	"C113"	"C114"	"C116"	"C118"	"C119"	"C122"	"C123"	"C124"	"C125"	"C126"	"C129"	"C130"	"C132"	"C133"	"C135"	"C136"	"C137"	"C138"	"C139"	"C140"	"C142"	"C143"	"C144"	"C146"	"C147"	"C149"	"C150"	"C152"	"C153"	"C155"	"C156"	"C158"	"C160"	"C162"	"C163"	"C164"	"C165"	"C166"	"C167"	"C169"	"C170"	"C171"	"COL07"	"COL12"	"COL15"	"COL16"	"COL17"	"COL18"	"GSM4904235"	"GSM4904236"	"GSM4904238"	"GSM4904239"	"GSM4904242"	"GSM4904243"	"GSM4904245"	"GSM5075660_p007t.tsv"	"GSM5075662_p008t.tsv"	"GSM5075665_p009t1.tsv"	"GSM5075666_p009t2.tsv"	"GSM5075668_p012t.tsv"	"GSM5075670_p013t.tsv"	"GSM5075672_p014t.tsv"	"GSM5075674_p016t.tsv"	"GSM5075676_p017t.tsv"	"GSM5075680_p021t.tsv"	"GSM5075682_p025t.tsv"	"GSM5075683_p026t.tsv"	"GSM5688706"	"GSM5688707"	"GSM5688708"	"GSM5688709"	"GSM5688710"	"GSM5688711"	"KUL19.T"	"KUL21.T"	"KUL31.T"	"s0107"	"s0115"	"s0813"	"s0920"	"s1125"	"SMC01.T"	"SMC02.T"	"SMC03.T"	"SMC04.T"	"SMC05.T"	"SMC06.T"	"SMC07.T"	"SMC08.T"	"SMC09.T"	"SMC10.T"	"SMC11.T"	"SMC14.T"	"SMC15.T"	"SMC16.T"	"SMC18.T"	"SMC19.T"	"SMC20.T"	"SMC21.T"	"SMC22.T"	"SMC23.T"	"SMC24.T"	"SMC25.T"	"T_cac10"	"T_cac11"	"T_cac12"	"T_cac13"	"T_cac14"	"T_cac15"	"T_cac16"	"T_cac4"	"T_cac5"	"T_cac6"	"T_cac8"	"T_cac9"	"C109"	"C115"	"C134"	"C145"	"C151"	"C154"	"C157"	"C159"	"C168"	"C172"	"C173"	"GSM5075678_p020t.tsv"	"KUL01.T"	"s1231"	"SMC17.T"	"T_cac1"	"T_cac7"	"KUL28.T"	"C161"	"KUL30.T"	"T_cac2"	"T_cac3"	"GSM4904234"
"E1"	0.0242399713988249	0.0241988261222002	0.00595344982858958	0	0	0	0.0277010340501657	0.0893862485860036	0.020407759020537	0	0	0.168958092957198	0	0	0	0	0.0249402556041063	0	0	0.0199012487869953	0	0.0181020978830649	0.0340805409404256	0	0.0199824266901569	0	0	0.00948449137406645	0	0	0	0	0	0.0151828488053943	0	0	0.0158452741909199	0.0487320783977391	0	0	0	0	0	0	0	0	0	0	0	0.025223218735677	0	0.00348513636099174	0.0307190566052186	0	0	0	0	0	0	0	0.00325675924817136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0179213167229834	0.00791589818654864	0	0	0.0142628962243578	0.0256404782990309	0.015673231183562	0	0.1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0893094466003934	0	0.00895978670544118	0	0	0	0	0.0215076480320186	0.0278195829343475	0	0	0.00225200799778835	0	0	0	0	0	0	0	0	0	0	0	0.0556723274540517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA
"E2"	0.00771564076355169	0.0250950789415409	0.0755630170551754	0.0286091791790087	0.0391638703010613	0.00263055382953306	0.0190444609094889	0	0.0129510778399562	0.0174005233996033	0.0148305082161899	0.0181924922849163	0.0313543844123994	0	0.00837141629748844	0	0.0103062594714643	0.072750524880095	0.0480068064724008	0.0051203238320353	0.0121474929367534	0.0143722700225433	0.0498391500419386	0.0241626739048468	0.0139618017254428	0	0.0081098131616555	0.00262647453435686	0.00234934909759484	0.00634637027427257	0.00614057980090542	0	0	0.00554757937120176	0.0138677937000594	0	0.0376325262034349	0.00576710986955493	0.0288493022520984	0.00774235763224919	0.0892053391264037	0.0240224684780192	0.0190506277416583	0.0126338992911178	0	0.0218087462492293	0.0555213863955693	0.0329645523735241	0.0271392816611821	0.0458434017142711	0.00491741763678788	0.011275498077229	0.00326298537472087	0.00640295508318649	0.0137464423811569	0.00683957710842384	0.0311341970108469	0.0340245508958033	0.0599162315424246	0.0365778622119205	0.0361897442308993	0.0330968871637641	0.0531583826315998	0	0	0.0142214780853241	0	0	0	0	0.00924856684631354	0.00183738204604128	0.00522546402218098	0	0.00277623173802535	0.0667728010330834	0	0.0366534523274308	0.0317693728987131	0.0319857202965474	0.00679670462625084	0.0420196641931384	0	0	0	0	0.0278762353490026	0.0143454561778842	0	0.0155570471593118	0.0119280035893284	0	0	0.00292909716806617	0.0180164006449565	0.00487835008501059	0.00190806759545777	0.00441970349968008	0.0371125283015509	0.0342974617128623	0.0159822283561961	0.0122088486907525	0	0.0462111702329801	0	0.0980125238224884	0	0	0.00777446746381381	0.01158104124801	0	0.658681994335617	0.4371715078475	0.503843099223822	0.509720727728116	0.577695900308339	0.497124107859462	0.431268342409959	0.638093438933728	1	0.472708270227701	0.687560793908057	0.4560725122651	0	0.025065866783035	0	0	0	0.0303381966455529	0.0101945607389225	0	0.0186238124727999	0.022149947661975	0	0	0	0.0339840291018165	0	0.603516015182793	0.811877522307379	0	0	0	0.773374773725833	0.623864473361159	0
"E3"	0.00538407057031591	0.0376426184123114	0.0263440154915089	0.0282016035565136	0.00212442908300448	0.00620540903377031	0	0.023463890253826	0.0192416013622206	0.0663539958971538	0.0341131955315666	0.0295222474253168	0.0494221982653682	0.0612766569232336	0	0.0197304428646209	0.0387733973752211	0.0595861441875063	0.0126626648956188	0.00547284341642371	0	0	0.0290327202470631	0.0031355484140336	0.00337203450396398	0.0164522929891359	0.0115011895747114	0.00803392210509159	0.02375452976457	0.00885967713857256	0.0264613070127257	0	0.0185535614481138	0.0123631768843925	0.0246538554667723	0	0	0.0298629672405021	0.0284914814489716	0.00918873213497706	0	0.0152182213550209	0.040622316998849	0.0331052050903731	0.00812050989663241	0.0261425355679864	0.030309843900129	0.0248363065827921	0.0185418088035846	0.0228723359269533	0	0	0.00389560498818716	0.00200436009861222	0	0.00248504559658467	0.402643277184201	0.458575709413812	0.297102953434489	0.377107865915231	0.44459648592214	0.39014600750796	0.372353935890375	0	0	0.0184879215109213	0	0.00347747276425189	0	0	0	0.0139641035499137	0.00905747097178037	0	0	0.0128032893128417	0.00651002873354867	0	0.0195606591624763	0.00815022641391873	0.0473183372245753	0.0117126901299913	0.0132211981112843	0	0.0962984149498602	0	0.0959270451715676	0.0934066867267239	0.113238309287757	0.00998137220797211	0	0	0	0	0.00806157588181103	0.00701279034017472	0.00269345905520427	0	0	0.00199699260274719	0.0107493184066064	0	0	0	0	0	0	0	0	0	0.0112603073781883	0.0444895160132801	0.144447909329822	0.14307757479282	0.186532149992503	0.0069756952966811	0.012849014770925	0.156844298712513	0.00346048403294179	0	0.0994101043557319	0.139426033589573	0.162436281305677	0.0188843089092021	0.0710199558852659	0.00913143995278097	0	0	0	0.0320400480366135	0.0127884185406993	0.0105485015450615	0.0240641406698	0.0145068749705124	0	0.0581631643193772	0	0	0.0692548445095558	0.0207338294642527	0	0	0.0927271286291707	0.0831513087135293	0.226859808494967	0.415384615384615
"E4"	0	0.172080541313424	0.0726019662876363	0.0250680920502344	0	0	0	0.0446931242930018	0.0612232770616111	0	0.0418500983243504	0	0.164740660884561	0	0.0249361336520932	0.0081473968047937	0.0382803923225818	0.0415717285029114	0	0	0.0345794018183252	0.0181020978830649	0.014894458633223	0.0266521615192856	0	0.160409856644075	0	0.0213401055916495	0.0427581535762261	0	0	0	0	0.0342257439172448	0	0	0.0564487893051523	0.0149944856608428	0.0171377332023889	0	0	0.0368630356080249	0.131935730423612	0	0.274067209011344	0.0399827014569204	0	0	0.0589798562085533	0	0.00819990167083679	0.0051234483255605	0.00603878890529938	0.0271178130988712	0.00149297496268388	0	0	0.0391393526644535	0.00939259722055965	0.0149556303065994	0	0.002019862337806	0.0118554821624187	0	0	0	0	0	0	0	0	0	0	0	0	0.0267860658971196	0.0355120163897906	0.0156687516520881	0.0212579943598059	0.00178286202804472	0.0123781619374632	0.0514157064167821	0	0	0.0692622528161197	0	0.120797019845678	0.0280220060180172	0	0.046163846461871	0	0	0.0340657767998475	0.0344517619291592	0.075241374896903	0.0133512739168711	0.00670823764692384	0	0.0258001533647145	0	0	0	0	0	0.0268793601163235	0.0392050095289954	0	0	0	0.0215076480320186	0	0	0.00318275054455541	0.00810722879203804	0	0.015594209105748	0	0	0	0	0	0	0.00842678336813048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
"E5"	0.0166649803366921	0	0	0	0	0	0.0147040953998845	0.0227012694821597	0.0374142248709846	0.00959665229917513	0.0131528880447958	0.0176514136703817	0.0494221982653682	0.135035595812311	0.0113743767535864	0.032513885256684	0.0280667876468585	0.00975336707183691	0.012513851526119	0.0394439165147654	0	0.0226276223538311	0.0150778879267356	0.00888405383976186	0	0	0.00383372985823715	0.00734283203153532	0	0.0162427414207164	0.0188683270246003	0	0.0378537450872985	0.105105078337343	0	0.0380168053775566	0.0154389851091015	0.0523616959584987	0.0190295608935617	0.00536009374540328	0	0.0406651310288342	0.0794306948468685	0.00993156152711194	0.00467343630785784	0.0383167555628821	0	0.104075951394557	0.0300528967126118	0.0426079719267599	0.0131435889949196	0.0017840578990791	0.0610451721991488	0.106880193713667	0.103276972059451	0.109579029008989	0	0.088715866039428	0.00452857365991269	0	0	0	0.0148732412583071	0	0	0	0.0255920839975458	0.0463663035233585	0.0430917767450929	0.123704775736952	0.00936867810405787	0.0253336009378419	0.0452873548589018	0	0.0568613389306674	0.203116020270883	0.275834399421553	0.222795363590901	0.268331772134939	0.331320554249397	0.219146764346587	0.046850760519965	0.0114966940098125	0	0	0	0	0.0058434514919088	0	0.0295448617355975	0.0159452205418808	0	0	0	0.00513009374297066	0.133193469575047	0.0124024393704755	0	0	0	0	0.0152800524058485	0	0	0.00982686283822581	0	0	0	0	0.0487506688725755	0.0166917497606085	0	0.0318275054455541	0.0574262039436028	0	0.0321864475942638	0	0	0	0	0	0	0	0	0.0133684622842854	0.00632640084705133	0.00879958750578269	0	0	0.145647313101174	0.0528587966348907	0.00794785012132845	0.01082886330141	0.0169246874655978	0	0	0.190310562970172	0	0	0	0.0659139004963109	0.0350281286487634	0.076083797849576	0.0534891459560715	0.0343726982568132	0.146153846153846
"E6"	0.0484799427976498	0.0349538599542892	0	0.0615307713960298	0.0237350007894294	0	0	0	0	0	0.0365358001244329	0	0	0	0.0124680668260466	0	0	0.043650314928057	0.0338093680984398	0	0.00966651459921363	0.0267596229575742	0	0.0121146188724025	0	0	0.0200814421145755	0	0.0305415382687329	0	0	0.0604422546893959	0	0.0320526808113879	0	0	0	0	0.0130913239740471	0	0.10902874782116	0.0368235571227686	0.0326697999144183	0.0354698625968284	0	0	0	0	0	0.0269021636360394	0.0222504595469193	0.00697027272198348	0.0664266779582932	0	0	0.0180865361839421	0	0	0	0.0102396888670841	0	0	0	0	0	0	0.00853069466584861	0	0.00747510412925081	0	0	0	0	0	0	0.025087437328034	0	0.0406397937586789	0	0.00713144811217888	0.0897416740466083	0.0329419409906004	0	0	0.00791568603612797	0.00438382854359474	0.016106269312757	0	0.00249790388134757	0	0	0	0.170328883999238	0.0180871750128086	0	0.0297542675861699	0	0.0340480862197576	0.0313287576571533	0	0	0	0	0	0	0	0	0	0.0462025494992363	0	0	0	0	0.00225200799778835	0	0	0	0	0	NA	0	0	0.0581448052401003	0	0	0	0.517309083673286	0	0	0.0160200240183068	0	0	0.189505107774675	0	0	0	0	0.0216466587741361	0	0	0	0	0	0	0	0
"E7"	0.0624018293130298	0.00731939802461611	0.0292356911225381	0.00787854321578794	0.0267987434769732	0.0275264131146844	0.110647685177788	0.0516654523252434	0.00897634513309336	0.0535342418638974	0.0299181119785068	0.0126128690743712	0.0319085921777475	0.0264775678063355	0.0218617715166716	0.014062722850601	0.0459179605713463	0.033913778515533	0.0166614011784457	0.0173563410529455	0.0233333244078047	0.0298094822407714	0.0255128766227998	0.0319572069463954	0.047193314209324	0.0397299954536409	0.0322139800587982	0.0232415895501853	0.00900171654236339	0.0426001438141458	0.0306834119293417	0.00610904090290948	0.00317039937752565	0.0362390628065595	0.0123269277333862	0.108047762652003	0.00953619743414068	0.0223601979152919	0.0120984235583531	0.0808411013711019	0.00824587168395328	0.0311378965970072	0.0100133442462149	0.0248289038177799	0.058728687645288	0.00999567536423011	0.0056189371936068	0.0626069720447795	0.0538111156112277	0.0133970692495197	0.206387838427672	0.300448410116951	0.299075380548613	0.371391578346938	0.411068993760557	0.474441232605359	0.000723296311793315	0	0.0352327874135496	0.0105779368476784	0.00703046440875087	0.0055249175710576	0.0306345785738034	0	0	0	0	0	0	0	0	0	0.00817215426025296	0	0	0.0743361132927015	0.155198753276559	0.213519620563687	0.112579310110769	0.135938924991842	0.0726242806636441	0.0776957869811322	0.165264976391054	0.0625	0.00393701226533733	0.0057476863127131	0.00715245512244145	0.0014748424220009	0.0728348081963971	0.530420939087452	0.539768267633106	0.49182601279159	0.509257652283349	0.497429692327733	0.17515644468061	0.522503822308671	0.632381416997636	0.585301698172906	0.559263811186064	0.346914848052492	0.726412874291335	0.615219787939357	0.654670139811812	0.685507313692219	0.481458014045142	0.53580179689627	0.425591801385681	0.625945707879036	0.555714257942004	0.618573855082991	0.62215169596204	0	0.00846504661640157	0.0309497829609795	0	0.00661610311659867	0.00389341948431098	0.0191491331297539	0.0452169913637727	0	0.0267816827479613	0.03058198144537	0.0568332682797973	0.0414714234868753	0.0393190067184863	0.0061858141615613	0.0517445829399871	0.0192785161384548	0.00758829832063755	0.0155750233511316	0.042126555192892	0.0282628280771434	0.01082886330141	0.0345604962532795	0	0.172249885400471	0	0.670167121742852	0	0.0228072124106779	0.0112535927676628	0.0203800021229169	0.182019919160965	0	0	0
"E8"	0.0428529826573395	0.166165272705775	0.00714413979430749	0.203754754422853	0.319531129516539	0.412280965908653	0.0817180504479887	0.0417135826734684	0.14122842025476	0.23070352127217	0.189426515280596	0.18232293891681	0.224193287471166	0.210055371263595	0.330923232993327	0.0363917057280785	0.065682917505534	0.233217396901333	0.0343552485208625	0.275197722681272	0.363299184686202	0.107054709783605	0.0967343130814	0.242973103651357	0.442137483186419	0	0.138561950590571	0.150737851847375	0.283730890516529	0.320944238322027	0.288407421604966	0.118799402374539	0.322092813228019	0.0192316084868328	0.0998481146404279	0.291969065299635	0.18259106220264	0.0262403499064749	0.0729466500919866	0.0412586163297489	0.168215782352647	0.0874053663573409	0.0846577470238883	0.0877395419327	0.117457375290576	0.0411250643556896	0.0915454536619939	0.138373708104128	0.148039895760636	0	0.0788827485141648	0.0125464908995703	0	0.112448531649986	0.00981918148534395	0.00627861184671133	0.0258216783310214	0	0.00912960449838398	0.00248700369143451	0	0	0.101469667889465	0	0	0	0	0	0	0	0	0	0	0	0	0.0231019075288099	0.0230744351778003	0.0486608835888902	0.00471747163263857	0.051346426407688	0.0179483348093217	0.168230483831363	0.045329822095832	0	0.0068784582107043	0	0	0	0	0.07763733111632	0.125946464565987	0.129199680686234	0.0510986651997713	0.0271307625192129	0.165820414676636	0.0291109320707932	0.0243995702647916	0.0772555871831402	0.056391763782876	0.0226386343238705	0	0.0211620043973044	0	0.127080718140695	0.07615818699625	0.0122515654778111	0.061128752886836	0.0877260880544279	0.0554430593990836	0.0469257775244043	0	0	0	0.00260043187669145	0	0	0.0535345179092759	0.0147041530042981	0	0	0.0226335505452783	0	0	0.0545546701821395	0.417764446383917	0.111344654908103	0.0194197793231066	0.42646414488097	0.160730527534399	0.00600750900686504	0.143230287655833	0.106284432077038	0.178676244473265	0	0	0.077675365511592	0	0	0	0	0	0.112090011676043	0	0	0	0.438461538461538
"E9"	0.0384964156981713	0.0375815102655382	0.0611291723471251	0.0295347702700943	0.0247097774290109	0.0192988220950257	0.074380957625233	0.119640055799728	0.0345955708024295	0.0309098186417729	0.0801797180653617	0.0504207784822684	0.0219654214512748	0.118538034332979	0.0452271917368545	0.101400861928987	0.0562822662154551	0.107414174693658	0.0136637730177083	0.0304378017101305	0.0258652669272743	0.0703549517574125	0.0648985484907961	0.0607864220369558	0.0645940810700161	0.137552921027026	0.0196752763138719	0.0137008143571862	0.0215572357613473	0.0308501413840664	0.0142834557681221	0.0418104703917428	0.0405401137984228	0.00806015140466455	0.038301525457307	0.0233949571554195	0.0563975080849589	0.163071089450184	0.166347477276716	0.333506589868323	0.366778184781733	0.159649755481502	0.184682192785667	0.219913148100336	0.199471975635921	0.299253311733177	0.277136222386808	0.291049974983234	0.265285998569037	0.245446555856297	0.00181058233314052	0.0184933163629397	0.0189442906788434	0.00408871683087193	0.0133951400544868	0.00225796605575065	0.00717268842528371	0.0349882092000418	0.0250506223391313	0.029220493391976	0.0452653746932652	0.0449491508102472	0.0695386898807022	0	0	0.0142214780853241	0.0291819238343056	0	0	0	0	0	0	0.0237138731290678	0	0.114353484133869	0.0596013399876613	0.0569166421157107	0.101435789726348	0.124104426490839	0.261803774057842	0.0618290658528417	0.0385038401135649	0	0.0101713797841854	0	0.00504785883346803	0.00179210503603598	0.00499580776269515	0.00889829439661492	0	0.00828203081322013	0.0122876555612353	0.00951956579621504	0.00513009374297066	0.0198661275591928	0.00335411882346192	0.0208931438166694	0.015949185716369	0.0191983607036832	0	0.0182648252238639	0	0	0.0100428378456593	0	0.00606235565819861	0	0.0225412438465971	0.00323626051892443	0	0.0778566530232401	0.0147997900321827	0.00362691814380649	0.0778838775075336	0.0108892896063214	0.0259274436237996	0.0424922508856015	0.0184559148423562	0	0.0125804350425368	0.0114262348257426	0.0465903888141829	0.0915000485903606	0.072195483548251	0.01554950537865	0.0258811397228903	0	0.244055773388925	0.348004214059218	0.303156566184245	0.265820138886835	0.174407173364055	0.435485227480189	0	0.131951901885401	0	0.0107338803838691	0.0155823400146501	0.0733088970343219	0.113289516478034	0.620776279941974	0.211211792988667	0.0580739298951633	0.0567149521237417	0
"E10"	0.00799919056161221	0.0282319638092336	0.0971156503288675	0.12306154279206	0.0202445594968663	0	0.0493424669018576	0	0.00935355621774614	0	0	0	0	0	0.0202606085923258	0.109856911832243	0.0373901506406613	0.0491066042940641	0.0361790425589108	0	0	0.0104909885458672	0.00591397622201503	0	0	0.0283076217607192	0.0210855142203043	0.022859231752411	0.0248149998433455	0.0487282242621491	0	0.04202598828036	0.0338079860894327	0.00940676502073342	0	0.11405041613267	0	0.0301228506579432	0.0373102733260342	0.0363554184470831	0.00667522945843837	0.013941611170279	0.00765698435494178	0	0.0140547286672484	0	0	0	0.0427619221449953	0.0271177258446615	0	0.00784155681223141	0	0.0164643865243146	0.0106374466091226	0	0	0	0	0	0.00772533589101113	0.0341540358938106	0	0	0	0.01980848733313	0	0.121711546748816	0	0.0262095963205232	0	0.014840393448795	0	0	0	0.129045811586712	0.0572882528552283	0.0654239104069641	0.0117936790815964	0.0220235897581995	0	0.0325084943986188	0.00991589858346324	0	0	0	0	0.0752684115135113	0	0.0437341703322989	0.0761536762492012	0.0455511694727107	0.0576920413545805	0.00904358750640429	0	0.0548104929218919	0.0666631116163057	0	0	0.0193209034315791	0.0713780960048439	0.0509210730810136	0	0	0	0	0	0	0.0485126769741982	0.0375406220195234	0.0644908513478056	0	0	0	0	0	0	0	0	NA	0	0	0.0290724026200501	0	0	0	0.0108302615455787	0	0.0817273868818976	0.0240300360274601	0.0596792865232636	0.0238435503639853	0.0243649424281725	0.114241640392785	0	0.005510752282917	0	0.0249769139701571	0.0623293600586003	0	0.0187559879461047	0.124544457417825	0	0.00991506120161325	0	NA
