"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"IS17"	"IS18"	"State"	"MaxFC"	"InitialState"
"PDGFRB"	"PDGFRB"	-0.238097833566036	-0.230094147614472	-0.249837170492807	-0.24884778461991	-0.0699161565030683	-0.253468835219936	3.87299086769647	-0.179761874948697	0.364677857447171	-0.219746997710543	-0.234237461212877	-0.242976887532553	-0.259118708732268	-0.241590711320061	-0.00406597191483232	-0.217284967627899	-0.255104821677896	-0.109659151968901	"S01"	3.87299086769647	"IS07"
"NOTCH3"	"NOTCH3"	-0.246594195163513	-0.215729271693102	-0.238315793642733	-0.266821719486907	0.0642842763866697	-0.226666624814101	3.71260574315461	-0.263754100497057	0.378320673314247	-0.260398450363507	-0.22082439512011	-0.23383736117835	-0.268365186170082	-0.250211713918968	-0.0805599718641058	-0.253622282510181	-0.243391835725233	0.0230633331588911	"S01"	3.71260574315461	"IS07"
"NDUFA4L2"	"NDUFA4L2"	-0.253202398390111	-0.229597589526939	-0.249353304078653	-0.239403709185109	0.0599620834169524	-0.194444751238273	3.59672746416649	-0.210923281042726	0.479927099948008	-0.233752783167753	-0.257116158226628	-0.258390972127613	-0.266210971344681	-0.256916859002191	-0.0964454317189314	-0.219503754337216	-0.209271534971867	-0.156482171800441	"S01"	3.59672746416649	"IS07"
"RGS5"	"RGS5"	-0.312429815361973	-0.192318447934189	-0.296852163802084	-0.257103769279736	-0.253968418921623	-0.200474862525915	3.35065962341726	-0.262411735611735	0.855678747536531	-0.279073109176946	0.122716642819788	-0.220630542378953	-0.324841478666978	-0.242607545396393	-0.0729918288452074	-0.273957304022059	-0.301176002964646	0.0408182207995184	"S01"	3.35065962341726	"IS07"
"SOD3"	"SOD3"	-0.25966372540987	-0.22367493827011	-0.258873641007923	-0.184933861970514	-0.059163755332957	-0.136041468315725	3.32076249294489	-0.23709085310467	0.693939606999875	-0.257865111214627	-0.258927440231021	-0.26498470338958	-0.212857982370762	-0.215669116380514	-0.196527417529918	-0.216403263867941	-0.181011617638133	-0.148986783593412	"S01"	3.32076249294489	"IS07"
"TBX2"	"TBX2"	-0.17788731428388	-0.17848190711364	-0.186657990967915	-0.202255439528247	-0.165232782155705	-0.189371275146157	3.27180505852237	-0.190266070690233	0.103790737097075	-0.00606099657046024	-0.156347105762359	-0.146554784246431	-0.175648697928628	-0.180496908136456	-0.0520763756819149	-0.182957212956159	-0.190593551018443	-0.126881889056487	"S01"	3.27180505852237	"IS07"
"FRZB"	"FRZB"	-0.212293743634937	-0.200299079690196	-0.172654100956452	-0.241375078379448	-0.0511117936087747	-0.208306290305613	3.25201981619552	-0.201237062016666	0.656268616540467	-0.204593212381477	-0.225998897670369	-0.2166440252668	-0.19810458854584	-0.215408077282393	-0.150644156162067	-0.218344246861211	-0.204234500524973	-0.176992515945569	"S01"	3.25201981619552	"IS07"
"COL1A2"	"COL1A2"	-0.353687699105596	-0.267047333531294	-0.287618711378615	-0.239470637022918	0.0604856023104683	0.138454104710276	3.20597212725523	-0.0797196438418144	0.187913940082249	-0.270871330238869	-0.194703019266516	-0.197874282414711	-0.366624932420049	-0.125437793194889	-0.182706896362279	-0.283551262897962	-0.203957764421531	0.146716914168408	"S01"	3.20597212725523	"IS07"
"COL5A3"	"COL5A3"	-0.183894846587372	-0.197967214873565	-0.192961722714942	-0.209085921462355	-0.0431852322127945	-0.171741826155233	3.1813246162421	-0.196691652922061	0.298519399266953	-0.194189214589719	-0.184848017416582	-0.187663183607605	-0.200130318182936	-0.0798692454064846	-0.0694577103412055	-0.156622594512735	-0.197030192772185	-0.119127119714154	"S01"	3.1813246162421	"IS07"
"COL1A1"	"COL1A1"	-0.339788761142826	-0.239523396480565	-0.197220955492371	-0.237977263069041	-0.109752110374254	0.183890782755879	3.08174313605378	-0.132392523490843	0.259159017473882	-0.243192549299188	-0.294029181523233	-0.240833416928963	-0.332820689332217	0.127584081200712	-0.279994355758552	-0.168189853180604	-0.193794938674449	0.279778932728181	"S01"	3.08174313605378	"IS07"
"HIGD1B"	"HIGD1B"	-0.186055369117453	-0.165456981359015	-0.195228769111866	-0.162214681929674	0.0556708087314437	-0.174050831356714	3.00156680818294	-0.15572674817416	0.127364980676691	-0.196470682401382	-0.152872129264442	-0.189867979140352	-0.202481586146179	-0.188784787735313	0.0198829072290931	-0.191358062413242	-0.199345038340128	-0.194572813566761	"S01"	3.00156680818294	"IS07"
"COL3A1"	"COL3A1"	-0.356027145689011	-0.225520152195789	-0.327837418771192	-0.266383324917086	0.0328430870356066	0.155950088943757	2.99012716642601	-0.127779224067116	0.248333375952881	-0.320503897957973	-0.0442539230410833	-0.21543475757555	-0.372983341739376	0.146966072109727	-0.217230918713681	-0.1299143734857	-0.312570539146352	0.259298770626676	"S01"	2.99012716642601	"IS07"
