"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"IS17"	"IS18"	"IS19"	"IS20"	"State"	"MaxFC"	"InitialState"
"MS4A12"	"MS4A12"	-0.196436246070187	-0.109165715655743	-0.190277617834273	-0.123170265250818	-0.21241901336408	-0.0678189076828923	-0.0852701806542709	-0.190821490159647	-0.189779731439331	-0.148054921001423	3.84151742390714	-0.195123937119405	-0.13764895884932	-0.16874471011484	-0.147110404993628	-0.193588164623436	-0.122398932357706	-0.167773203031333	-0.134320977907588	-0.189891031857365	"S01"	3.84151742390714	"IS11"
"SLC26A3"	"SLC26A3"	-0.265489959378092	0.0173735904290567	-0.309476092776551	0.0243917599845326	-0.148401711291533	0.0925697826342431	0.0287632565913488	-0.310360671236917	0.0398314772185586	0.0887357703829935	3.77554851377705	-0.317358364868146	-0.306966862067347	-0.29669408032445	-0.310741326189374	-0.283347461344558	-0.271759798790828	-0.249560520309111	-0.316697201608004	-0.308847331921662	"S01"	3.77554851377705	"IS11"
"CEACAM7"	"CEACAM7"	-0.199189420409501	-0.0777134094058834	-0.299787764245619	-0.0532296330042698	-0.214477418037399	-0.0533326926391482	0.696977905725164	-0.300644650464369	-0.245112253518568	-0.0534753136148915	3.65506759570068	-0.307423277238931	-0.132134907389342	-0.261903753937272	-0.301013388792821	-0.132717209453232	-0.221490222112135	-0.302964119282313	-0.168838751843059	-0.113143786561816	"S01"	3.65506759570068	"IS11"
"CA2"	"CA2"	0.0996823022855126	-0.234904094815845	-0.376943549150815	-0.371420685949059	-0.1692529274158	0.213559979867782	0.0817822524302833	-0.331418674423066	-0.306844726849246	-0.305796055135099	3.46166373578113	-0.376282766721383	0.171692415847328	-0.189604962667801	-0.0925617724721443	-0.172726668118711	-0.121263502345038	-0.226719226489982	-0.254611303492538	0.101105204243555	"S01"	3.46166373578113	"IS11"
"GUCA2A"	"GUCA2A"	-0.164094360694083	-0.107908312626117	-0.252682222044128	-0.0574638030809241	-0.212137153611192	-0.113222875430637	0.100395674891613	-0.214561059407782	-0.137592375028533	-0.164436551894256	3.45013538964702	-0.257198200535552	-0.239276198285285	-0.0977877474797848	-0.221762978412676	-0.0593944047383369	-0.178594991378734	-0.237290364686317	0.246960516606158	-0.174984872137434	"S01"	3.45013538964702	"IS11"
"CA1"	"CA1"	-0.150573464563218	-0.00473203193741107	-0.165667161000134	-0.176366947297932	-0.146983517335129	0.0314099210737955	-0.143859223309008	-0.166140689022593	-0.181480172799434	-0.166890298366009	3.44156147282415	-0.169886658628948	-0.153813124812894	-0.126471057389185	-0.161561767568745	-0.168549522541976	-0.137105777466095	-0.138581915997779	-0.169532728090137	-0.165330575951373	"S01"	3.44156147282415	"IS11"
"SELENOP"	"SELENOP"	-0.317979898762633	-0.00847453704262899	-0.165780620895327	-0.327903848789035	-0.210956632980309	0.675700532332044	-0.191156225390268	-0.195084747710515	-0.337410427812803	-0.310284733041962	3.21593068974876	-0.315855607163384	-0.329331379693646	-0.309776486140993	-0.309269901535693	-0.274192416646384	0.400824071229056	-0.302431605748371	0.148003829004881	-0.307384875723813	"S01"	3.21593068974876	"IS11"
"CDHR5"	"CDHR5"	-0.153189905824853	0.376790057208761	-0.446319975765768	-0.0949229759702859	-0.293957372166613	0.451317153865356	0.435886582051671	-0.402835194955452	-0.306279228261353	-0.341792270022448	3.16145157098122	-0.370212488673189	-0.22063158105516	-0.285110160191844	-0.455957486247151	0.21689276030048	-0.0975944662068912	-0.458385527178804	0.199920770002377	-0.391881322391574	"S01"	3.16145157098122	"IS11"
"CA4"	"CA4"	-0.157540917792846	-0.16335872401071	-0.161030729165281	-0.147716619825659	-0.149447662768412	-0.137245046338667	0.0161289435392205	-0.161491004830514	-0.0540189696666393	-0.134236918303835	2.99302800807891	-0.165132138133582	-0.0801005718348196	-0.0122926876184822	-0.161689072293511	-0.151580270479621	-0.128408503743757	-0.129108253159521	-0.164788112845804	-0.111657314707281	"S01"	2.99302800807891	"IS11"
"SCNN1B"	"SCNN1B"	-0.0873431984364871	-0.0590682827565138	-0.156559007340389	-0.0891990541910388	-0.174776782739998	-0.0819504245134343	-0.0432870292950874	-0.157006501440586	-0.156995628790704	-0.0723621985595338	2.98943300171995	-0.16054652276743	-0.131999659568115	-0.157456561027025	-0.122418806705698	-0.159282900591547	-0.0733836183740536	-0.164460616778441	-0.160212050844998	0.0780496345030966	"S01"	2.98943300171995	"IS11"
"CLCA4"	"CLCA4"	-0.145531038491131	-0.0610083521292033	-0.145977890845961	-0.155406025105193	-0.162964409053491	0.0178167437496777	-0.0868366318099408	-0.146395140840212	-0.159911552148831	-0.147055660343593	2.9856104196526	-0.149695908107591	-0.136640732562807	-0.146814782931073	-0.146574693343287	0.101659841397099	-0.141044779059242	-0.153345466175226	-0.127747733604269	-0.0185818763194415	"S01"	2.9856104196526	"IS11"
"TMIGD1"	"TMIGD1"	-0.0827491734761193	-0.127615267203293	-0.125796645724419	-0.133921353228943	-0.14043480086326	-0.103806528310983	-0.0301633220295665	-0.126156211473733	-0.137803997278846	-0.126725415052983	2.90817264615574	-0.129000652149968	-0.134504380452404	-0.0892021243308453	-0.0986605627851981	-0.0749141199808861	-0.109390602055917	-0.12318137340906	-0.128731900791322	-0.125541065379591	"S01"	2.90817264615574	"IS11"
"AQP8"	"AQP8"	-0.137614726740126	-0.135227358494325	-0.133300258515782	-0.0811807719674097	-0.148811561324891	0.0377390140054063	-0.108079447497648	-0.133681271912928	-0.146023833592667	-0.134284427774717	2.85330535031506	-0.136695379922656	-0.132228326805953	-0.0445428910545272	-0.109445905894977	-0.135619484223182	-0.14359010303279	-0.140027987559778	-0.0622131692795378	-0.133029433122617	"S01"	2.85330535031506	"IS11"
