"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"IS17"	"State"	"MaxFC"	"InitialState"
"CDH19"	"CDH19"	7.74356357462102	-0.0981182242961994	-0.123676793362316	-0.129911645456658	-0.123568967038548	-0.123838886145229	-0.115700902198542	-0.0592321222396238	-0.118904031202361	-0.123032643396887	-0.116845511288717	-0.117914812972724	-0.125151086263324	-0.115043510708778	-0.120164141749228	-0.122606924907625	-0.115418245271347	"S01"	7.74356357462102	"IS01"
"NRXN1"	"NRXN1"	7.63251615198054	-0.117526645543035	-0.116552384519773	-0.122428077598221	-0.116450769537628	-0.11670513993854	-0.109035945028293	-0.112195743519243	-0.112054557600385	-0.115945340850399	-0.110114618845556	-0.111122323344143	-0.117941750692856	-0.10841642261336	-0.113242079406239	-0.115544145899359	-0.108769570569755	"S01"	7.63251615198054	"IS01"
"PLP1"	"PLP1"	6.85238566448908	0.0105209624952567	-0.120232223042121	-0.126293425853594	-0.120127399831099	-0.120389801316095	-0.112478471515323	-0.115738032428619	-0.115592388931435	-0.11960601354711	-0.00155814522567947	-0.114630721802222	-0.121665454839974	-0.111839389290804	-0.116817403650929	-0.119192151908539	-0.112203686975791	"S01"	6.85238566448908	"IS01"
"MYOT"	"MYOT"	6.6333725805422	-0.102141680738661	-0.101294956509152	-0.106401485022446	-0.10120664355666	-0.10142771529881	-0.0947624654363171	-0.0975086267614351	-0.097385922952591	-0.100767378610667	-0.095699934179298	-0.0965757239263631	-0.102502446056943	-0.0942240423372472	-0.0984179908092315	-0.100418702560111	-0.0945309610419287	"S01"	6.6333725805422	"IS01"
"SOX2"	"SOX2"	6.55752887814279	-0.102690619920796	-0.101839345148329	-0.106973317635183	-0.101750557576273	-0.101972817422442	-0.0167485508868659	-0.0980326665602563	-0.0979093033053567	-0.101308931892348	-0.0962142535366737	-0.0970947500332655	-0.103053324097117	-0.0947304298214165	-0.0989469177956635	-0.100958381955004	-0.0950389979967306	"S01"	6.55752887814279	"IS01"
"L1CAM"	"L1CAM"	5.92524478322509	-0.10907835615419	-0.108174128943488	-0.0388195407314222	-0.108079818456178	-0.0748527739213987	-0.0349239639233267	-0.104130660872941	-0.10399962396748	-0.107610722021907	-0.102199135836139	-0.103134402470247	-0.109463621871291	-0.100623012799705	-0.0336339381609641	-0.107238366582385	-0.100950775056382	"S01"	5.92524478322509	"IS01"
"PTPRZ1"	"PTPRZ1"	5.18132968033304	-0.0780266679738702	-0.0965944058388336	-0.101463968003028	-0.0965101910124702	-0.0967210040116237	-0.0903650523194312	-0.000139188997072736	-0.0368189185762084	-0.0960913099750896	-0.0912590182121214	0.0184266476426275	-0.05752553982029	-0.0898516145221618	-0.0938509445454034	-0.0957588140928229	-0.0901442907909636	"S01"	5.18132968033304	"IS01"
"XKR4"	"XKR4"	4.96970912287841	-0.0416288726013942	-0.0830898651523939	-0.0872786301234129	-0.0830174241191312	-0.0831987640582293	-0.0777314167058314	-0.0799840281097383	-0.0798833770676539	-0.0826571054380585	-0.0785004002181727	-0.0792187899040295	-0.048522090610979	-0.0772897609290937	-0.080729958003089	-0.0823710946925981	-0.0775415191080158	"S01"	4.96970912287841	"IS01"
"CADM2"	"CADM2"	4.5470861726255	-0.077139876387238	-0.076500409698164	-0.0803569839725903	-0.0764337136129869	-0.0766006723583189	-0.0715669138890579	-0.0736408815742091	-0.0735482126796107	-0.0761019700643194	-0.0722749130371772	-0.0729363307105624	-0.0367976471857676	-0.0711602836965065	-0.0193324742650541	-0.0758386414481799	-0.0713920761515439	"S01"	4.5470861726255	"IS01"
"SHC4"	"SHC4"	4.2868063938104	-0.0916690146441736	-0.0838495939370359	-0.0302066444279769	-0.120120963350988	-0.101869682682463	-0.112472444868231	0.0383910657802671	-0.0744206647440435	-0.0375322963248344	0.199789194746543	-0.0622492390692963	-0.0796499038014157	-0.0233154663438119	-0.116811144521901	-0.0949606701046597	-0.112197675051777	"S01"	4.2868063938104	"IS01"
