"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"State"	"MaxFC"	"InitialState"
"KCTD19"	"KCTD19"	1.22266730919348	0.0596049501443402	-0.0648379477663667	-0.060262095901716	-0.0671025084420303	0.0141617033902086	-0.0626405226811917	-0.0627481986978332	-0.0257268758605857	0.00943878275050962	-0.072464048818788	"S01"	1.22266730919348	"IS01"
"MDGA2"	"MDGA2"	1.20762377031184	-0.0356809353691806	-0.0380733959556576	-0.0353864167115728	-0.0394031652996971	-0.0376719190211516	-0.0367830492029777	-0.0368462774783588	-0.0407709404147128	-0.0378548731532631	-0.0425515075395241	"S01"	1.20762377031184	"IS01"
"GML"	"GML"	1.19978560358989	-0.0354493457573375	-0.0378262779106936	-0.0351567386937194	-0.0391474162936039	-0.03742740679037	-0.0365443062440506	-0.0366071241318788	-0.04050631376837	-0.037609173445864	-0.0422753239974601	"S01"	1.19978560358989	"IS01"
"WFDC10A"	"WFDC10A"	0.996119312413558	-0.0294317399839212	-0.0314051825849745	-0.0291888036241695	-0.0325020547708468	-0.0310740207299484	-0.030340828477633	-0.030392982888424	-0.0336302763582323	-0.0312249320889018	-0.0350989931421154	"S01"	0.996119312413558	"IS01"
"CRYGC"	"CRYGC"	0.9679618326108	-0.0285997878133029	-0.0305174467652606	-0.0283637185783602	-0.0315833134721355	-0.0301956459206357	-0.0294831789426713	-0.0295338590955594	-0.0326796434214773	-0.030342291441663	-0.0341068437297106	"S01"	0.9679618326108	"IS01"
"DGKG"	"DGKG"	0.899145044299333	0.231391321457678	0.0344523070253777	0.0834911359121264	-0.113676155060918	-0.0168077401138009	-0.0125255511943436	-0.0280240887505636	-0.115782850748921	0.0566047254715873	-0.0740356756362235	"S01"	0.899145044299333	"IS01"
"RDH16"	"RDH16"	0.787863866068376	-0.0354205061875111	0.0891011564659496	-0.0351281371723439	-0.0391155681840943	-0.0373969579826842	-0.0365145758767007	-0.0365773426594711	-0.0404733601372274	-0.037578576763174	-0.0422409312002924	"S01"	0.787863866068376	"IS01"
"SPATA12"	"SPATA12"	0.705202006459348	-0.0767803978770862	-0.0819286394754166	-0.0761466347910186	-0.0401293949414387	0.081073489039083	-0.013228684299446	-0.0792880516109317	1.31252669398415e-05	-0.0255062413480355	-0.00624524773418663	"S01"	0.705202006459348	"IS01"
"OR52A1"	"OR52A1"	0.704225352112676	-0.0208073241781107	-0.022202486678508	-0.0206355757325629	-0.0229779411764706	-0.0219683655536028	-0.0214500214500214	-0.0214868929952729	-0.0237755587256301	-0.022075055187638	-0.0248138957816377	"S01"	0.704225352112676	"IS01"
"RBM46"	"RBM46"	0.704225352112676	-0.0208073241781107	-0.022202486678508	-0.0206355757325629	-0.0229779411764706	-0.0219683655536028	-0.0214500214500214	-0.0214868929952729	-0.0237755587256301	-0.022075055187638	-0.0248138957816377	"S01"	0.704225352112676	"IS01"
"CACNA1F"	"CACNA1F"	0.672990320446521	-0.0578397646980595	-0.013718860380919	-0.0573623419601474	0.00783873126376345	-0.0610672032378898	0.0552419942427693	0.0561431325029257	-0.0660908010315916	-0.0613637768518486	-0.0154846409203201	"S01"	0.672990320446521	"IS01"
"HACD1"	"HACD1"	0.67055335512737	0.302267396546198	-0.0168455894885071	-0.0868722531384403	0.0292465060024514	0.100731006750416	-0.150445886969449	-0.226199736905387	0.00154493619924262	-0.0758365438807721	-0.0440544443764342	"S01"	0.67055335512737	"IS01"
"MRPL33"	"MRPL33"	0.636596758751298	0.404184475644633	0.309768905765438	-0.0917540848137719	-0.702462222956419	0.27603788619773	-0.497515988973028	-0.166613165068931	0.118914181591164	0.276309462659539	0.0116128213177197	"S01"	0.636596758751298	"IS01"
"ERVFRD-1"	"ERVFRD-1"	0.619736240995597	0.131182983760907	-0.00834336325376949	-0.0775553075320874	0.0360297048357362	-0.0856652973627493	-0.119841361284107	0.13641304949019	-0.0431691895793516	-0.0386916461695854	-0.0523133498034591	"S01"	0.619736240995597	"IS01"
"EGR4"	"EGR4"	0.585710576736288	0.228241014815504	0.0761265565037682	0.0269894527469849	-0.0708078953487856	-0.0295440048432415	-0.106953828237834	0.170838246724232	-0.118549393068184	0.00736029317650538	-0.0699531076657027	"S01"	0.585710576736288	"IS01"
"CRYGD"	"CRYGD"	0.578517267537381	0.217025400625167	0.0269683629696759	0.191051414635111	-0.103417241654384	0.0811053738132535	-0.039633926260938	-0.0967064537343961	-0.0256167221183243	-0.0993536061103486	-0.0416323016971519	"S01"	0.578517267537381	"IS01"
"NPC2"	"NPC2"	0.576043280333906	0.194502795599523	0.272221666316666	0.0529889345238999	-0.930127786128859	0.213919839253387	-0.27787393325185	-0.203784349708774	0.346903372347844	0.350981445240943	-0.0458855170518286	"S01"	0.576043280333906	"IS01"
"GNAI1"	"GNAI1"	0.574056201365669	0.215833874857348	-0.0592071211211809	-0.081855166124915	0.0673502351158847	-0.103345020648333	-0.108501561484855	0.23868712949069	-0.053273981199261	0.0332960495543689	-0.12520254699012	"S01"	0.574056201365669	"IS01"
