"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"State"	"MaxFC"	"InitialState"
"CCL3L1"	"CCL3L1"	-0.0454328460407445	0.0752209731603054	-0.107270522710264	1.50406831701692	0.0625088271456143	-0.182183799231415	-0.0543311974989061	-0.131075783753769	-0.254478432694335	-0.0364286055693459	"S01"	1.50406831701692	"IS04"
"SELENOH"	"SELENOH"	0.137231171515113	0.911376921541418	-0.326809567764438	1.44491736779666	-0.248491286799727	-0.111031619496739	-0.305376189661031	-0.116994802619885	-0.38511863462264	0.092351792841243	"S01"	1.44491736779666	"IS04"
"ITGA1"	"ITGA1"	-0.496482282012619	-0.231752681355698	-0.203076706866069	1.3900227323662	-0.00955453549627892	-0.38068369844739	0.48344016571737	0.554486118129637	-0.464337541487039	-0.0643871075540254	"S01"	1.3900227323662	"IS04"
"SELENOT"	"SELENOT"	0.10761492045784	0.652086540213717	-0.349455502796658	1.25744593149773	-0.0469093241644052	-0.219501268860729	-0.328090248610658	-0.229921034236297	-0.381539486631469	0.811632076630198	"S01"	1.25744593149773	"IS04"
"CD160"	"CD160"	-0.168865317000626	-0.0687196883210127	-0.164700386458178	1.18825576733972	-0.189735267525132	-0.540534291360735	0.110495893071938	0.501185069098543	-0.299856599951595	-0.120107364946709	"S01"	1.18825576733972	"IS04"
"TRGC2"	"TRGC2"	0.537531040533757	-0.385196879974244	-0.193835878980988	1.15073268004122	-0.0255606707815751	-0.323318732037707	-0.260049658459259	-0.261604739987569	-0.0661695627044543	0.124913141219739	"S01"	1.15073268004122	"IS04"
"ARHGAP45"	"ARHGAP45"	0.113112882303483	0.552163174935624	-0.268842524136999	1.10683857133157	-0.0756681666150691	-0.198442579728602	-0.267298323950053	-0.232531313117508	-0.334449027000292	0.708348510434562	"S01"	1.10683857133157	"IS04"
"P2RY11"	"P2RY11"	-0.198096082308002	-0.166478318186804	-0.11970569454549	0.861182149234869	-0.188977112123927	-0.273599355938952	0.0806396273765292	0.437081356245462	-0.233744711744541	-0.0636754813425404	"S01"	0.861182149234869	"IS04"
"GPR18"	"GPR18"	-0.162234119404735	-0.134870435059675	-0.22462662320311	0.854407866054117	0.0988490822856245	-0.048724018987448	-0.0169053941468655	0.14420718052661	-0.102233973547991	-0.0711086931358103	"S01"	0.854407866054117	"IS04"
"DZIP3"	"DZIP3"	-0.276455561487193	-0.208457702472049	-0.0223478534073201	0.83764981314988	0.0028661566146377	-0.159997730008334	0.125690990501872	0.337890109050494	-0.288736309108618	-0.0327489458055625	"S01"	0.83764981314988	"IS04"
"FASLG"	"FASLG"	0.000734809118300988	0.156368264263313	-0.26881553943277	0.824940535205359	0.265808121383684	-0.382207521595834	0.127909472594469	0.124320357483425	-0.284129359367325	0.028975745178559	"S01"	0.824940535205359	"IS04"
"ADRB1"	"ADRB1"	-0.169611253718545	-0.126417768796537	-0.066408325462362	0.798993106942148	-0.0174088841222752	-0.180428544729167	-0.104055802336213	0.136687493296313	-0.102325645751231	0.130320482276002	"S01"	0.798993106942148	"IS04"
"TGFBR3L"	"TGFBR3L"	-0.0199102868396722	-0.0376678914043194	-0.0806051523645516	0.776332302984054	-0.0172469745433471	-0.118133243015107	-0.0766541016873162	0.0486132763341968	-0.0840115769074806	-0.146569103012818	"S01"	0.776332302984054	"IS04"
"HASPIN"	"HASPIN"	-0.0852250934008655	-0.0789564109355807	-0.0834631364137015	0.770617397205526	-0.0787555040375258	-0.0809526933393574	-0.0817365662502138	-0.05601242408415	-0.0914354891779842	0.27838069977634	"S01"	0.770617397205526	"IS04"
"GPR82"	"GPR82"	-0.309685671924542	-0.159966501995348	-0.0658356066872382	0.722142998356935	-0.15068672822799	0.0293764578808711	0.206861263094819	0.423336002058523	-0.369439354156807	-0.0347073257911281	"S01"	0.722142998356935	"IS04"
"IKZF2"	"IKZF2"	-0.194427524902704	-0.0419299138522134	-0.192840682406162	0.719009101195777	0.159711396535045	0.0394746452503063	-0.095937829487741	0.209965978301932	-0.297644115415773	0.262868458760976	"S01"	0.719009101195777	"IS04"
"TRGC1"	"TRGC1"	0.00846931765968328	-0.216554511879591	-0.145166025902464	0.698305897705887	-0.132423363040165	0.0166516215826932	0.0753329964359961	0.0767997455409591	-0.172815728901817	0.0264779943447983	"S01"	0.698305897705887	"IS04"
"ABI3"	"ABI3"	0.20047100074204	0.00641755039405533	-0.16394369424475	0.696061083994372	-0.235413445345113	-0.574966948138357	0.053407515305765	0.341997677511956	-0.197757017209188	-0.15887806172138	"S01"	0.696061083994372	"IS04"
"EVL"	"EVL"	-0.0623733583783107	0.150319173383889	-0.287415320256334	0.693101158146979	-0.116860540587756	-0.270298795216645	0.398224622414455	0.58409274674	-0.449688630764943	-0.45393214685232	"S01"	0.693101158146979	"IS04"
"HAGHL"	"HAGHL"	-0.209453809312489	-0.0504405924354078	-0.0557669701800404	0.688816364330659	-0.134161883491068	-0.0804358931067908	-0.108314270694496	0.426824518620365	-0.171008555369402	-0.255173612136027	"S01"	0.688816364330659	"IS04"
"CD3E"	"CD3E"	0.0448326896695676	-0.0289505266179373	-0.0946935893219326	0.687302613168956	-0.290204119626222	-0.545037519034537	-0.200258246948363	0.676740023155506	-0.312398506274817	-0.0348294668342674	"S01"	0.687302613168956	"IS04"
