"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"State"	"MaxFC"	"InitialState"
"ATP5PF"	"ATP5PF"	-0.382159494018678	2.18750140926039	0.087969932115294	-0.472360521966386	-0.334135462723973	-0.413071670324032	-0.420822989749665	-0.438798063826669	-0.298761920721971	1.37287263412253	0.132126140008572	-0.433099387673076	-0.420484706863599	-0.25180393067425	"S01"	2.18750140926039	"IS02"
"ATP5MC3"	"ATP5MC3"	-0.449869171304753	2.10986161215309	0.00316793100394747	-0.518155893485775	-0.366308071294777	-0.45311898530259	-0.417928194700765	-0.48133955368547	-0.281034763829888	1.92779924523611	0.229420316408551	-0.475088390650594	-0.429493379967024	-0.334762853792658	"S01"	2.10986161215309	"IS02"
"ATP5F1A"	"ATP5F1A"	-0.392810182923916	2.09680410245343	-0.0498579415538157	-0.46049781441116	-0.349258804695456	-0.402697923584986	-0.373009488833184	-0.427778232860893	-0.241056159653124	1.58564034718359	-0.255301086433452	-0.422222671395167	-0.415058870577507	-0.28841716758455	"S01"	2.09680410245343	"IS02"
"ATP5F1C"	"ATP5F1C"	-0.416750698295288	2.08952091648886	0.0371817169250751	-0.474058763559809	-0.326259948912459	-0.414556755251724	-0.414961206664748	-0.440375640885822	-0.23970693043968	1.56224871512638	-0.025580840626978	-0.434656476718474	-0.40859159389488	-0.268111042704033	"S01"	2.08952091648886	"IS02"
"ATP5F1B"	"ATP5F1B"	-0.439451636401826	2.03556643242026	-0.0551896730119961	-0.507852860865845	-0.380149702548627	-0.444109149179959	-0.402585409666994	-0.47176857864643	-0.320710620491149	1.96944584886268	0.633026536230566	-0.465641713988684	-0.445340041528606	-0.295385550169332	"S01"	2.03556643242026	"IS02"
"ATP5PD"	"ATP5PD"	-0.381385497281118	2.03079470521489	-0.0422750526501966	-0.459159752220382	-0.320841902043022	-0.401527809745157	-0.325417862820472	-0.426535243509987	-0.329274309850901	1.50408130065675	0.204154725086591	-0.420995824763104	-0.404010519778091	-0.253761852191274	"S01"	2.03079470521489	"IS02"
"ATP5PO"	"ATP5PO"	-0.378225453825688	1.98161665519464	-0.0377342249365108	-0.432812491207991	-0.291971884561915	-0.378487554243817	-0.378455646733621	-0.402060024727423	-0.19394032365683	1.38148101254636	-0.0817131887343263	-0.396838465964729	-0.360254348302327	-0.277283324329501	"S01"	1.98161665519464	"IS02"
"ATP5PB"	"ATP5PB"	-0.403696432556625	1.87666698793851	-0.039450810805348	-0.471335311424904	-0.31976252896266	-0.412175140213851	-0.395336431422285	-0.437845697192082	-0.225252975165674	1.83765989982807	-0.0149132308225449	-0.432159389436341	-0.390906250768822	-0.26981301331916	"S01"	1.87666698793851	"IS02"
"CRYBG1"	"CRYBG1"	-0.310507772071273	1.87385060367781	-0.262880032628651	-0.34451995484773	-0.262175358182444	-0.30127715291804	-0.24156090103978	-0.320040905424338	-0.282355381796569	0.93361652690377	0.21982475999631	-0.315884530029217	-0.311713281113864	-0.208857893614229	"S01"	1.87385060367781	"IS02"
"ADA2"	"ADA2"	-0.301625642563011	1.79321787997688	-0.243538252198732	-0.383346346966516	-0.282857568567399	-0.335230207628026	-0.309844663542619	-0.356108580208368	-0.18735230255049	1.26588347749547	0.677023063520385	-0.351483793452416	-0.331954006786478	-0.289571877314057	"S01"	1.79321787997688	"IS02"
