"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"GRK3"	"GRK3"	2.06603717687966	-0.273313171444226	-0.243388237765916	-0.278080974051998	-0.204563762362309	-0.0190317152922057	"S01"	2.06603717687966	"IS01"
"SINHCAF"	"SINHCAF"	2.02371674428127	-0.285606578845611	-0.199253138278794	-0.312796868346336	-0.132731242231389	-0.0654725316029877	"S01"	2.02371674428127	"IS01"
"AFDN"	"AFDN"	1.67988663108135	-0.248175254248942	-0.244691011868496	-0.262335403890774	-0.180626099981987	0.164668904891555	"S01"	1.67988663108135	"IS01"
"TMEM268"	"TMEM268"	1.40656509220394	-0.214004618853243	-0.142319147520543	-0.226215092601626	-0.160845864232383	0.074817936389571	"S01"	1.40656509220394	"IS01"
"KYAT3"	"KYAT3"	1.28790023107863	-0.173496092483161	-0.172497553311932	-0.19817583475509	-0.089996066052243	0.0199741519593999	"S01"	1.28790023107863	"IS01"
"CEP350"	"CEP350"	1.25137167171932	-0.548639172318357	0.0747505239432298	0.212189158524206	-0.366542390980614	-0.145174007537872	"S01"	1.25137167171932	"IS01"
"ANKRD33B"	"ANKRD33B"	1.18824694426874	-0.452112781290572	-0.0162160397474709	0.158056294616515	-0.278749156013603	-0.113102669056642	"S01"	1.18824694426874	"IS01"
"ZBTB10"	"ZBTB10"	1.18490521877812	-0.53839620577984	-0.321952509857675	0.15815220820621	0.197680481092376	-0.0857521213133457	"S01"	1.18490521877812	"IS01"
"NCOA3"	"NCOA3"	1.15181706137326	-0.421066437685017	0.0219284235980873	0.0389467683095236	-0.148959757819792	-0.145916637848715	"S01"	1.15181706137326	"IS01"
"ARL5B"	"ARL5B"	1.12511445754791	-0.392522309049777	-0.215775895229093	-0.185016257982607	0.457367396212918	-0.152304404504186	"S01"	1.12511445754791	"IS01"
"TMEM131"	"TMEM131"	1.07364745102368	-0.43014705699805	-0.0476953749630731	0.0413671254003927	0.154528396840991	-0.329014193538599	"S01"	1.07364745102368	"IS01"
"TEDC1"	"TEDC1"	1.06192367583999	-0.097775479814269	-0.150284470127892	-0.132059037260974	-0.139821627270887	-0.00860105257922378	"S01"	1.06192367583999	"IS01"
"MAP3K1"	"MAP3K1"	1.05987424633657	-0.449146629880129	0.0194340589755493	0.174630522592669	-0.147153700217455	-0.259160413386099	"S01"	1.05987424633657	"IS01"
"CREBRF"	"CREBRF"	1.05735848712897	-0.39305445208774	0.0571024417984723	-0.163436740346017	0.0951996565859989	-0.127924240476162	"S01"	1.05735848712897	"IS01"
"PARP14"	"PARP14"	1.04929843291406	-0.547028395908088	0.0726463479963644	-0.0680544497502327	0.0704868224763479	-0.0576582553746094	"S01"	1.04929843291406	"IS01"
"LRRK1"	"LRRK1"	1.04776201382875	-0.39595184212099	0.252590925698796	-0.0508017120519205	-0.335723387497595	-0.0923285328682774	"S01"	1.04776201382875	"IS01"
"IER5"	"IER5"	1.04687930920506	-0.634039526532198	0.0142379672666174	0.0847827703281948	-0.0922532205332034	0.0935170188767976	"S01"	1.04687930920506	"IS01"
"PRKAR2B"	"PRKAR2B"	1.01900988582779	-0.178454176013734	-0.0758918667673454	0.12111658479329	-0.285721131911591	-0.21626381239176	"S01"	1.01900988582779	"IS01"
"STAT5A"	"STAT5A"	1.01016218967162	-0.420727621009559	-0.303937544825921	0.217555585102156	0.235273074675941	-0.291704426317051	"S01"	1.01016218967162	"IS01"
"PTBP3"	"PTBP3"	0.985216768120096	-0.38008216694917	-0.148605424673325	0.18337312369463	0.0234729786616749	-0.262735510905089	"S01"	0.985216768120096	"IS01"
"N4BP2"	"N4BP2"	0.979668866911577	-0.203084105779216	0.0629681248892847	-0.141683971737442	-0.19679375864351	-0.0426478748197787	"S01"	0.979668866911577	"IS01"
"RAB30"	"RAB30"	0.978272075706135	-0.44325700653867	0.109393169660814	0.113073746351535	-0.135066967054893	-0.259599663473933	"S01"	0.978272075706135	"IS01"
"ACTR2"	"ACTR2"	0.975495188085297	-0.737843581399995	-0.131854025119014	0.298500432700674	0.324664565850729	-0.319590159924666	"S01"	0.975495188085297	"IS01"
"CYTH1"	"CYTH1"	0.974822513758	-0.604163345707577	0.0849504581192789	0.0142135450703886	0.0451723112916902	-0.0480708112291483	"S01"	0.974822513758	"IS01"
"NR4A3"	"NR4A3"	0.974217712389072	-0.670887586936155	-0.227652867292697	-0.00695871145410412	0.753276529962421	-0.272434496679009	"S01"	0.974217712389072	"IS01"
"SERTAD2"	"SERTAD2"	0.969196869401761	-0.281149989159898	0.0977601632852029	-0.0580189036472162	-0.220270648567226	-0.0867032807529213	"S01"	0.969196869401761	"IS01"
"KDM2A"	"KDM2A"	0.966632489968584	-0.411247230301884	-0.0917961322720909	-0.0239439833544258	0.039234520629804	0.0230466442544041	"S01"	0.966632489968584	"IS01"
"NFIL3"	"NFIL3"	0.96582948248022	-0.401495764943705	0.0378417221356433	0.0555385369906332	-0.274361020668836	0.0510855896419889	"S01"	0.96582948248022	"IS01"
"SSH1"	"SSH1"	0.965292543572333	-0.294873398905649	0.0950411762128145	-0.203689727217534	0.000882469554887165	-0.0823019683695235	"S01"	0.965292543572333	"IS01"
"JAK1"	"JAK1"	0.963990051813252	-0.569817556773352	0.0617882723294606	0.150869734455775	0.114788397066287	-0.352946591893734	"S01"	0.963990051813252	"IS01"
"USP12"	"USP12"	0.957279962140009	-0.340756795907267	-0.208173022538808	0.113107041630006	0.198403306261864	-0.297711178635409	"S01"	0.957279962140009	"IS01"
"BMP2K"	"BMP2K"	0.954575205387754	-0.584051635288353	0.472305545994739	-0.00185302383023836	-0.474028360221935	-0.0143835284275358	"S01"	0.954575205387754	"IS01"
"PRPF40A"	"PRPF40A"	0.952254385684579	-0.449996383230357	-0.06124855566613	0.231475937668259	0.036394894681505	-0.365598753357654	"S01"	0.952254385684579	"IS01"
"BHLHE40"	"BHLHE40"	0.951300407520212	-0.537625046262605	-0.150849856384289	-0.0408500244971489	0.402905024207473	-0.0962420007798174	"S01"	0.951300407520212	"IS01"
"GNB1"	"GNB1"	0.944058672405352	-0.54243530177619	-0.14887173107874	0.279769351641774	0.140389463156464	-0.299236553376427	"S01"	0.944058672405352	"IS01"
"SMG1"	"SMG1"	0.928952233176141	-0.449500921060111	0.0493163000322138	-0.0621878482938923	0.0276621793512808	-0.0334970336729194	"S01"	0.928952233176141	"IS01"
"ETV3"	"ETV3"	0.926720886710482	-0.60068723052136	-0.121518101152463	-0.0113811593423454	0.273183841170372	0.0664844530207775	"S01"	0.926720886710482	"IS01"
"ASAP1"	"ASAP1"	0.926434229049455	-0.523084962560812	-0.100464733593408	0.225884485485048	0.0955518235079534	-0.24759501198617	"S01"	0.926434229049455	"IS01"
"RAB21"	"RAB21"	0.925883127097171	-0.465367516955131	-0.121778607875464	0.0216492769872447	0.227430273566425	-0.119416463616707	"S01"	0.925883127097171	"IS01"
"PPP1R15B"	"PPP1R15B"	0.924773048565327	-0.514352278869583	-0.187164934539252	-0.0108623964440931	0.378983593987068	-0.0762521176424528	"S01"	0.924773048565327	"IS01"
"GPR157"	"GPR157"	0.919107180699498	-0.665964099682633	-0.0285930744977842	0.226363552522325	0.23898276810137	-0.318718762226716	"S01"	0.919107180699498	"IS01"
"MALT1"	"MALT1"	0.915165418523055	-0.56303282843165	-0.0404484280514289	0.400857977544108	-0.227769663942876	-0.181969113051981	"S01"	0.915165418523055	"IS01"
"FCHSD2"	"FCHSD2"	0.915076517083153	-0.303689093643403	0.201210338903427	-0.0972761405335102	-0.192522716839242	-0.14104996108978	"S01"	0.915076517083153	"IS01"
"DOCK10"	"DOCK10"	0.912794386160485	-0.465534436345101	0.129952297286352	0.0655397137709041	-0.132971458089278	-0.139988146561549	"S01"	0.912794386160485	"IS01"
"NABP1"	"NABP1"	0.908418898746496	-0.771981973391359	0.178470544121383	0.217094977556515	-0.0602863739721962	-0.113605004908906	"S01"	0.908418898746496	"IS01"
"DAPP1"	"DAPP1"	0.904966280928489	-0.678345085434565	0.113696064067445	0.213237159836381	0.0664199380226373	-0.283751871553138	"S01"	0.904966280928489	"IS01"
"SH2B3"	"SH2B3"	0.902482735961959	-0.459235644421721	-0.253117238623399	0.0426218886542589	0.287489714887023	-0.0187424114604951	"S01"	0.902482735961959	"IS01"
"TBC1D9"	"TBC1D9"	0.897898828526301	-0.424552307590693	0.0877092437357467	-0.0359058350016003	-0.102036831022828	0.00394116707002716	"S01"	0.897898828526301	"IS01"
"LCP1"	"LCP1"	0.896676102187419	-0.547564505260704	-0.200457898691858	0.376711580242873	0.262584512051391	-0.478727950490223	"S01"	0.896676102187419	"IS01"
"PBRM1"	"PBRM1"	0.894905574654994	-0.430296515125208	-0.0472948551498429	0.18341303547533	-0.121307683091207	-0.114564714701359	"S01"	0.894905574654994	"IS01"
"PLXNC1"	"PLXNC1"	0.893350730767692	-0.475710138944721	0.257197718040504	-0.120612566364248	-0.112213260452119	-0.0272517120206216	"S01"	0.893350730767692	"IS01"
"TRIM44"	"TRIM44"	0.89246580648769	-0.373141931182202	0.203894421104503	0.0431166837292803	-0.324369489056342	-0.10671554785176	"S01"	0.89246580648769	"IS01"
"IL6R"	"IL6R"	0.892422509987691	-0.461578464630037	0.252309332406249	-0.0315236850399187	-0.0926374570782402	-0.204346124473163	"S01"	0.892422509987691	"IS01"
"ASH1L"	"ASH1L"	0.888701869691487	-0.482986754110849	0.0466741397214925	-0.0499260757457254	-0.0974590847778167	0.169322823426526	"S01"	0.888701869691487	"IS01"
"IRF4"	"IRF4"	0.886856307445136	-0.688349522875959	-0.0283534600704766	0.180274626813314	0.14328772420985	-0.0813857359506548	"S01"	0.886856307445136	"IS01"
"SLCO5A1"	"SLCO5A1"	0.88335160210112	-0.374887316207387	0.256120660199971	0.0142899540547915	-0.479987706636373	0.0499483712888626	"S01"	0.88335160210112	"IS01"
"CHD3"	"CHD3"	0.878968743510919	-0.45609713634581	0.28883200959587	0.125029043687053	-0.400443846917824	-0.153175845203483	"S01"	0.878968743510919	"IS01"
"CERS6"	"CERS6"	0.878937169027246	-0.656620363580347	0.144742874514817	0.21924620671091	0.00791276995134762	-0.283997400936816	"S01"	0.878937169027246	"IS01"
"NAV1"	"NAV1"	0.877666991403701	-0.491782623942312	0.178838379917436	0.0907154433836759	-0.16479355766231	-0.155840557182308	"S01"	0.877666991403701	"IS01"
"ARAP2"	"ARAP2"	0.866270893281382	-0.512699916669916	0.202424185826318	0.0291236969615495	-0.0175968384805671	-0.225120034805686	"S01"	0.866270893281382	"IS01"
"ATP11C"	"ATP11C"	0.861356119580686	-0.289873858222405	0.188695960056524	0.0248466205101646	-0.289840401625077	-0.187720532040675	"S01"	0.861356119580686	"IS01"
"TMCC3"	"TMCC3"	0.858516379346826	-0.425261175339356	0.211675110889129	0.0907078726833696	-0.240384423208379	-0.1959785522176	"S01"	0.858516379346826	"IS01"
"CLINT1"	"CLINT1"	0.856826902115268	-0.378434549023637	-0.0135309244415153	0.183140204090666	-0.00806588852498806	-0.340020644881032	"S01"	0.856826902115268	"IS01"
"ALPK3"	"ALPK3"	0.856251560111252	-0.134782552279871	-0.0718900418276511	-0.0294569148754562	-0.163277371412047	-0.0685448260113204	"S01"	0.856251560111252	"IS01"
"DSC2"	"DSC2"	0.85420275308368	-0.279206848325401	0.21326628660832	-0.182240425277672	-0.0381453633867885	-0.192033201739109	"S01"	0.85420275308368	"IS01"
"SH3PXD2A"	"SH3PXD2A"	0.853476745065245	-0.409606034852177	0.325452231987287	0.0268080724124631	-0.437680604468031	-0.0535360756875753	"S01"	0.853476745065245	"IS01"
"UVRAG"	"UVRAG"	0.853137641427718	-0.427003448803358	0.335584136814882	-0.0204093574198552	-0.362751852706402	-0.0550506160567941	"S01"	0.853137641427718	"IS01"
"RAB11FIP1"	"RAB11FIP1"	0.851444825538716	-0.599312793565483	-0.0572553093866787	0.227924306735841	0.099721547426505	-0.162637505706547	"S01"	0.851444825538716	"IS01"
"RAPGEF1"	"RAPGEF1"	0.850458286355927	-0.435315905559423	-0.147972602000777	-0.0354066865406526	0.29065351683046	-0.0505852185652953	"S01"	0.850458286355927	"IS01"
"RAB8B"	"RAB8B"	0.849757176154045	-0.436682025814952	-0.0171219213609025	0.162032403603928	-0.00101895690673819	-0.223657488954154	"S01"	0.849757176154045	"IS01"
"RAD21"	"RAD21"	0.847217188388365	-0.415659565971886	-0.135712150347634	0.265978432006543	-0.0151259213654285	-0.224677540182677	"S01"	0.847217188388365	"IS01"
"AHCTF1"	"AHCTF1"	0.847131074007595	-0.275401053398582	-0.0664784539614413	0.0855184213385001	-0.0365979229626596	-0.20690121639101	"S01"	0.847131074007595	"IS01"
"RAP2A"	"RAP2A"	0.841631647268121	-0.37297833566119	0.0312858912243651	0.170631569610637	-0.212255042125522	-0.148174580987327	"S01"	0.841631647268121	"IS01"
"NIN"	"NIN"	0.840633163281349	-0.358310418315002	-0.00555952020948682	0.0483849292261644	-0.0889128306194841	-0.0588825745717737	"S01"	0.840633163281349	"IS01"
"JARID2"	"JARID2"	0.837005572747785	-0.552937266153024	0.00268474786799713	0.0571156732503979	0.109945836567562	-0.0435569475767752	"S01"	0.837005572747785	"IS01"
"BCL2L11"	"BCL2L11"	0.835659980320187	-0.378522611221203	0.00952950665124201	-0.0412423770026373	0.092861181901771	-0.115841259710465	"S01"	0.835659980320187	"IS01"
"RASSF2"	"RASSF2"	0.833265341668491	-0.353728098144917	0.164045132329885	0.174188751265686	-0.2850587187963	-0.288483857345855	"S01"	0.833265341668491	"IS01"
"EHBP1L1"	"EHBP1L1"	0.833009712051715	-0.292627042104377	0.0167342367465465	0.0332367705344035	-0.0394224178743089	-0.210152498655818	"S01"	0.833009712051715	"IS01"
"DSG2"	"DSG2"	0.829529288897001	-0.38062681259567	0.0242979740113694	0.0730719162593837	-0.224039420145979	0.0513717445944776	"S01"	0.829529288897001	"IS01"
"GNAI2"	"GNAI2"	0.826079686804471	-0.564515484242859	-0.0556317520687082	0.405285308306894	-0.0358606867252048	-0.323601194111312	"S01"	0.826079686804471	"IS01"
"ALCAM"	"ALCAM"	0.823954750807915	-0.41372774868179	-0.150240270515561	-0.0137846240167508	0.297894553761391	-0.101544737936447	"S01"	0.823954750807915	"IS01"
"MAP4K4"	"MAP4K4"	0.820522359545962	-0.509848440649498	-0.214579002252478	0.198321086869802	0.359165149277745	-0.28171968519306	"S01"	0.820522359545962	"IS01"
"ATAD2B"	"ATAD2B"	0.819528434925662	-0.440073971924177	-0.0126680908340046	0.0955828475745213	-0.109075781924124	0.0267175570502877	"S01"	0.819528434925662	"IS01"
"BRD4"	"BRD4"	0.81937377808829	-0.549311689683317	0.0705357538390936	0.0609770587389251	0.0305179900276494	-0.0519706101425139	"S01"	0.81937377808829	"IS01"
"NFKB1"	"NFKB1"	0.818947741395089	-0.736716487814949	-0.424551562219293	0.42883791045664	0.597585700340567	-0.299673451785832	"S01"	0.818947741395089	"IS01"
"PTPN1"	"PTPN1"	0.816873509647271	-0.798831374320619	0.107336728660123	0.246748498120916	0.287955784081043	-0.355931911806112	"S01"	0.816873509647271	"IS01"
"PREX1"	"PREX1"	0.810165720807794	-0.434382579055851	0.121835299163388	0.330129736166101	-0.261214812073616	-0.375962085634876	"S01"	0.810165720807794	"IS01"
"ZEB1"	"ZEB1"	0.801347284567299	-0.393052516795716	0.27318206195973	0.126801113705637	-0.350494842627178	-0.223122455205748	"S01"	0.801347284567299	"IS01"
"DNAJC21"	"DNAJC21"	0.801315203102426	-0.254096520885986	0.0541180838205702	0.117275775512993	-0.202465234943898	-0.243721969242551	"S01"	0.801315203102426	"IS01"
"CTSZ"	"CTSZ"	0.800341939042584	-0.6844264515338	0.104261305954465	0.156680314037724	0.167052290024235	-0.213641868140071	"S01"	0.800341939042584	"IS01"
"GLS"	"GLS"	0.798132493598387	-0.532175225510873	-0.155579531941329	0.329216347485069	-0.0585107247837359	-0.051575498544401	"S01"	0.798132493598387	"IS01"
"EPS15"	"EPS15"	0.797468694604948	-0.42455327548777	0.0797375222283982	0.0983883379862858	-0.133476783559844	-0.0933759649663168	"S01"	0.797468694604948	"IS01"
"TNFRSF1B"	"TNFRSF1B"	0.797242906322908	-0.520637610428616	0.149007281353484	-0.0696128438826716	0.296622014232697	-0.290373693199513	"S01"	0.797242906322908	"IS01"
"REL"	"REL"	0.797150248539709	-1.10930207375572	-0.17596275581381	0.306710266283643	0.658007279216029	-0.0147664970348372	"S01"	0.797150248539709	"IS01"
"PELI1"	"PELI1"	0.790369159993162	-0.348188929528245	0.110531267461764	-0.0866037380076037	-0.0157888777769841	-0.0785175695501925	"S01"	0.790369159993162	"IS01"
"GNA13"	"GNA13"	0.788364764480117	-0.344623798734704	-0.238782914795915	-0.119521780947721	0.500272446755809	-0.103809099550966	"S01"	0.788364764480117	"IS01"
"OGFRL1"	"OGFRL1"	0.785597713726441	-0.40404795608947	0.248538275311939	-0.115739437673701	0.0343734744866032	-0.214916677703787	"S01"	0.785597713726441	"IS01"
"RAP2B"	"RAP2B"	0.783210481991387	-0.40484770151808	0.0621794068122925	0.158368472183303	-0.251405504291874	-0.0446854970918823	"S01"	0.783210481991387	"IS01"
"MARCKS"	"MARCKS"	0.782774640764802	-0.654786499967151	-0.124263889077587	0.388056461523342	0.203367702163719	-0.314869023136593	"S01"	0.782774640764802	"IS01"
"CCDC88A"	"CCDC88A"	0.781195556782657	-0.589836041437003	0.240291812490828	0.245083834272926	-0.327560538026036	-0.104897568546873	"S01"	0.781195556782657	"IS01"
"DENND5A"	"DENND5A"	0.778883126911357	-0.351868570147851	-0.00481005789956146	0.1454197132814	-0.0802175406691246	-0.191557459351479	"S01"	0.778883126911357	"IS01"
"BAZ2B"	"BAZ2B"	0.777412308227986	-0.391833331783796	0.108639973091186	0.0895305124763167	-0.169249243528671	-0.112119639564527	"S01"	0.777412308227986	"IS01"
"IRF1"	"IRF1"	0.772429191927989	-0.617427753951333	0.308221338984589	-0.226587579087309	0.0951427966737348	0.107413494894023	"S01"	0.772429191927989	"IS01"
"DDX6"	"DDX6"	0.769339136547137	-0.570324921932243	0.0321837289145705	0.281011005305919	-0.00536979463234934	-0.242632738156029	"S01"	0.769339136547137	"IS01"
"SLC22A23"	"SLC22A23"	0.764789481328051	-0.346328722509745	0.125625138484607	0.0594557475398162	-0.280538757119746	-0.0147799504972083	"S01"	0.764789481328051	"IS01"
"LPP"	"LPP"	0.763858623807092	-0.371411512178222	-0.104110635302021	0.142573765522108	-0.0316394042377187	-0.0575966222964942	"S01"	0.763858623807092	"IS01"
"PPTC7"	"PPTC7"	0.763209203652711	-0.334026574537237	-0.161743986219455	-0.00773155248203538	0.17612731189196	-0.0212419420553485	"S01"	0.763209203652711	"IS01"
"FOXP1"	"FOXP1"	0.761042452900709	-0.454440193179788	0.123833021809042	0.195116482943306	-0.187553115041171	-0.185317365212535	"S01"	0.761042452900709	"IS01"
"GPBP1"	"GPBP1"	0.759022337842934	-0.683510547529139	-0.10446671690606	0.289291618621679	0.178198607935548	-0.1006767575503	"S01"	0.759022337842934	"IS01"
"CD83"	"CD83"	0.757764652496743	-1.00203965056096	-0.0200928471728882	0.192920846114127	0.608472645786863	-0.127806445710355	"S01"	0.757764652496743	"IS01"
"SUCO"	"SUCO"	0.756922527401681	-0.344599805479261	-0.00291666431293054	0.123842246870492	-0.117831945541595	-0.111083301601284	"S01"	0.756922527401681	"IS01"
"TMEM39A"	"TMEM39A"	0.755598660170182	-0.331957269900496	0.16828031677054	-0.161441470655023	-0.00805860943941531	-0.0515433030983281	"S01"	0.755598660170182	"IS01"
"EDEM1"	"EDEM1"	0.752337562296656	-0.506792274129226	-0.286103076953922	0.170464739248284	0.359510319007403	-0.0874881539710466	"S01"	0.752337562296656	"IS01"
"NDE1"	"NDE1"	0.747261296355439	-0.475659248772441	0.114473110798088	0.231842843874228	-0.199051087083092	-0.178164608455668	"S01"	0.747261296355439	"IS01"
"GNAQ"	"GNAQ"	0.74713456044786	-0.403280617662384	-0.0304393180222537	0.105712893670882	0.02075289576771	-0.11304412156111	"S01"	0.74713456044786	"IS01"
"UGCG"	"UGCG"	0.746921134536161	-0.430968922502276	-0.0202776821218073	0.08581058656104	0.0982893407104598	-0.147336535054987	"S01"	0.746921134536161	"IS01"
"AFTPH"	"AFTPH"	0.741236176224116	-0.392935491190983	0.021837633079136	0.0896110318576079	-0.141682268887753	0.0120684798196063	"S01"	0.741236176224116	"IS01"
"NFKBID"	"NFKBID"	0.739364008977487	-0.528360050827682	-0.0389446317112566	0.0843933151517061	0.240693290058915	-0.141882195370439	"S01"	0.739364008977487	"IS01"
"TBC1D4"	"TBC1D4"	0.736511529928442	-0.546037653243919	-0.198619110271828	0.441038362004215	0.00821027703871297	-0.181727576640009	"S01"	0.736511529928442	"IS01"
"SMAP2"	"SMAP2"	0.729501968791288	-0.548747567267735	0.18711776680397	0.213016146895621	-0.152502281708014	-0.196708807133365	"S01"	0.729501968791288	"IS01"
"NET1"	"NET1"	0.72942042790909	-0.409976825337521	0.292770682941887	0.148312188908827	-0.443046638854294	-0.10658840391325	"S01"	0.72942042790909	"IS01"
"ZNF267"	"ZNF267"	0.729172423411641	-0.489405558992224	-0.0139589766895062	0.199491974835302	0.0269688124370541	-0.163945296392857	"S01"	0.729172423411641	"IS01"
"RP2"	"RP2"	0.726654939445985	-0.214327521649648	-0.271734930599365	-0.130050583853739	0.501377340648689	-0.175752387029516	"S01"	0.726654939445985	"IS01"
"ZBTB38"	"ZBTB38"	0.726421022366471	-0.3414209678649	-0.0513998323109459	0.219789863456994	-0.0116487814290737	-0.298368214299007	"S01"	0.726421022366471	"IS01"
"SPG11"	"SPG11"	0.721539864054059	-0.404593405354201	0.210115945029801	-0.0980073189295001	-0.13214536869055	0.0513627879807278	"S01"	0.721539864054059	"IS01"
"TNFAIP2"	"TNFAIP2"	0.720439890619648	-0.689510713949399	0.0276015737876194	-0.0248533724424963	0.38147673148704	0.00734724070689919	"S01"	0.720439890619648	"IS01"
"TRIM24"	"TRIM24"	0.719908658766856	-0.171846302709033	-0.0517042950331155	0.1303507868985	-0.247308483946193	-0.111948133498986	"S01"	0.719908658766856	"IS01"
"PHF21A"	"PHF21A"	0.71737284365698	-0.304348897348415	0.0701421024650441	0.00990778446154427	-0.184555377792039	0.011885248993098	"S01"	0.71737284365698	"IS01"
