"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"State"	"MaxFC"	"InitialState"
"LSMEM1"	"LSMEM1"	-0.0811105384196202	0.0378249068137686	-0.07309774761949	-0.167405529140357	-0.164485665260002	0.0164559482537788	-0.171854423232925	0.256171611099917	1.9620251338094	-0.0624669828279188	-0.0682522029646575	"S01"	1.9620251338094	"IS09"
"TENT4A"	"TENT4A"	-0.212320905864791	1.27207870491111	-0.143683632503315	-0.138613641112989	-0.197970728360848	-0.0229493805617702	-0.206839576480278	-0.181969086322329	1.82663601839173	-0.205280875828581	-0.192514291324754	"S01"	1.82663601839173	"IS09"
"GCNA"	"GCNA"	-0.177858704927234	-0.158687564966371	0.0784909469438282	0.071226104024357	0.0216452207980182	0.0167561652517009	-0.130804827527249	0.00917018869865117	1.62223763858001	-0.171961355253686	-0.161266938813881	"S01"	1.62223763858001	"IS09"
"N4BP2"	"N4BP2"	-0.299946299489735	-0.252921039166132	0.686031473648485	-0.170117185140972	-0.336244512800695	-0.225718909866555	-0.00323822774368242	0.0949110405926816	1.58783422562642	-0.0983084098111869	-0.139976984637326	"S01"	1.58783422562642	"IS09"
"AREG"	"AREG"	0.43904811594902	0.653233038054806	-0.765915699564789	-0.551886453989045	-0.59239124939856	-0.1220624623931	-0.512094778436085	-0.250611579634011	1.386039085678	0.893935093414059	0.0901051262411146	"S01"	1.386039085678	"IS09"
"BOD1L1"	"BOD1L1"	-0.249138434523292	-0.00987913866875636	0.780809038229777	-0.206719182350931	-0.0856017497431961	-0.0999695604964024	-0.264957779123859	0.299681275614406	1.3384153212274	-0.337554162351341	0.0125822770151379	"S01"	1.3384153212274	"IS09"
"JAML"	"JAML"	0.638238677495699	0.196646121931233	-0.496661039448255	-0.536919797872057	-0.551135455778811	-0.361413239530677	-0.498915326715265	-0.278154484057212	1.28595460426036	0.746425344093441	0.00705876736703987	"S01"	1.28595460426036	"IS09"
"CEP128"	"CEP128"	0.10586239595167	0.180188517770737	-0.147496520715413	-0.212922646547184	-0.153698811575822	0.0310515775824428	-0.191172187304656	-0.116332345009235	1.26592469524282	0.0703243353677895	-0.0829202680200806	"S01"	1.26592469524282	"IS09"
"CLINT1"	"CLINT1"	-0.230425227878068	0.0530772119428922	0.456053790283756	-0.0906584106119518	-0.223051411814407	0.0258057248634068	-0.233304268270003	0.318371194589243	1.21651256883679	-0.0470615768023751	-0.129581807882853	"S01"	1.21651256883679	"IS09"
"PPP1R10"	"PPP1R10"	-0.164330281693088	-0.174925003306266	0.488259473012686	0.0174753432670996	-0.372227872113472	0.085907184739389	-0.217173699497917	0.420273657363698	1.21560457729605	-0.0812700105350412	-0.114638456220892	"S01"	1.21560457729605	"IS09"
"NUFIP2"	"NUFIP2"	-0.133647918658256	0.134278618271516	0.36828482300948	-0.142015153224727	-0.361937959202996	-0.0274482510052213	-0.228319871355738	0.0116574733382568	1.21327552524015	0.0510925997468825	-0.0488776207649264	"S01"	1.21327552524015	"IS09"
"LUC7L3"	"LUC7L3"	-0.135663041273899	-0.481910542200432	0.467460317797815	0.11161992562593	-0.275681365983547	0.124101452022876	0.15445597080213	-0.079928438332278	1.19181632821259	-0.361529062136852	-0.179964740933064	"S01"	1.19181632821259	"IS09"
"SFMBT2"	"SFMBT2"	-0.177985185342469	-0.00902006922855307	0.335090253674363	-0.00456925030061347	-0.117800308133576	0.076289456581928	-0.137221234054369	0.229847672274126	1.17662316805707	-0.285155335435628	-0.0161704113658598	"S01"	1.17662316805707	"IS09"
"VPS13C"	"VPS13C"	-0.217051562761794	-0.173899195602454	0.74100026511067	-0.0731360872254942	-0.281272508663918	-0.0449688083633233	-0.0593866033955686	0.00567484555006044	1.17511051960299	-0.284666292690647	-0.0867257693046059	"S01"	1.17511051960299	"IS09"
"UTRN"	"UTRN"	-0.0637943482178315	0.183901023862068	0.424956116840113	-0.0266171252699115	-0.397613678739209	-0.308604443393159	-0.209174977101853	0.092403485788055	1.16170862505822	-0.175880588726545	0.0458959583838213	"S01"	1.16170862505822	"IS09"
"MALT1"	"MALT1"	0.698447085384646	-0.336199915626083	0.0900062852310864	-0.343749157670792	-0.467497031136466	-0.393096353362314	-0.54347446841968	0.4865427752155	1.1611768140071	-0.0359958944185177	0.295647633980258	"S01"	1.1611768140071	"IS09"
"METRNL"	"METRNL"	0.562569731350378	0.15808578079734	-0.0873743860691938	-0.498948992101841	-0.427085604351516	-0.224286132422161	-0.603224157439198	0.12725845005797	1.09075190992375	0.11473138819127	0.513875563238883	"S01"	1.09075190992375	"IS09"
