"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"State"	"MaxFC"	"InitialState"
"GOLGA6L7"	"GOLGA6L7"	-0.0294839440675502	-0.0344075043475745	-0.030099239322793	-0.0283827365180393	-0.0289169451431743	5.43638568691676	-0.0284055522226358	-0.0284169738359139	-0.0294716488448365	-0.0319787393348045	-0.0346436342793715	-0.031051412095746	-0.0299715919974207	-0.0318921543005045	-0.0305282997537442	-0.0283599574357616	"S01"	5.43638568691676	"IS06"
"ALOX12B"	"ALOX12B"	-0.0293435762821655	-0.0342436963721279	-0.0299559422267252	-0.0282476113848798	-0.0287792767382777	5.41050402679621	-0.0282703184679866	-0.0282816857050063	-0.0293313395948085	-0.0318264942752718	-0.0344787021315444	-0.0309035818753738	-0.029828902607443	-0.031740321456837	-0.0303829599776893	-0.0282249407497394	"S01"	5.41050402679621	"IS06"
"MTMR7"	"MTMR7"	-0.0208594075928244	-0.0243427458617332	-0.0212947189097104	-0.0200803212851406	-0.0204582651391162	3.84615384615385	-0.020096463022508	-0.0201045436268597	-0.0208507089241034	-0.0226244343891403	-0.0245098039215686	-0.0219683655536028	-0.0212044105173876	-0.0225631768953069	-0.0215982721382289	-0.0200642054574639	"S01"	3.84615384615385	"IS06"
"NPIPB9"	"NPIPB9"	-0.0208594075928244	-0.0243427458617332	-0.0212947189097104	-0.0200803212851406	-0.0204582651391162	3.84615384615385	-0.020096463022508	-0.0201045436268597	-0.0208507089241034	-0.0226244343891403	-0.0245098039215686	-0.0219683655536028	-0.0212044105173876	-0.0225631768953069	-0.0215982721382289	-0.0200642054574639	"S01"	3.84615384615385	"IS06"
"ZYG11A"	"ZYG11A"	-0.0466202151153379	-0.0544053824885419	0.270539672394472	-0.044878978165247	-0.0457236725169661	3.48201146666324	-0.0449150545142544	-0.0449331144477141	-0.046600773824631	-0.0505650025481742	-0.0547787527605221	0.0525082624404418	-0.0473912873755153	-0.0504280936965095	-0.0482715575081922	-0.0448429597237019	"S01"	3.48201146666324	"IS06"
"GALNTL6"	"GALNTL6"	-0.0797118153299112	-0.0930229899443998	-0.0134516566642512	-0.0767346270465049	-0.078178895804336	2.40592127505926	-0.0767963108303044	0.984967463673608	-0.0796785743727261	0.00506759592370906	-0.0535665933680695	0.220706770786028	-0.0174113863883664	-0.0287051180482747	-0.0131204299986952	-0.0766730422735944	"S01"	2.40592127505926	"IS06"
"EYS"	"EYS"	-0.036050608744867	-0.0420707444797693	-0.0368029425730179	-0.0347041402254804	-0.0353573278074657	2.37288449865041	-0.0347320374443112	-0.0347460028795521	-0.0360355751298775	0.0747169487237561	-0.0423594652752187	-0.0379671832871029	-0.0366468656325047	0.0646782034355213	-0.0373275633526765	-0.034676287785492	"S01"	2.37288449865041	"IS06"
"EFCAB12"	"EFCAB12"	-0.0544656288741794	-0.0056065755962524	0.0496020268900433	-0.0524313704463486	0.217153032199542	1.60761104984412	-0.0524735178502444	-0.0524946169728219	-0.0544429159346989	0.00739493920388883	-0.00120077768956468	-0.0573612093195993	-0.0553664598860933	-0.0589143106549675	0.045209759971186	-0.0523892906947865	"S01"	1.60761104984412	"IS06"
"CAPN14"	"CAPN14"	0.145495057843589	0.0374710514460372	-0.0563531963312036	-0.0531394799139221	-0.0541396501578012	1.50882322238142	-0.0531821965376471	-0.0532035806134564	-0.0551781922375588	-0.0598720837039213	-0.018227393390338	-0.0581358984998533	-0.0561142090694089	0.0159793662974176	0.0502630640667362	-0.0530968318562063	"S01"	1.50882322238142	"IS06"
"QSOX2"	"QSOX2"	-0.0375805222857951	-0.0703784561201993	-0.124256034672286	-0.176672493180094	0.104447230444803	1.29188721724073	0.199371910962646	0.263731104153364	0.325736288929548	0.0677683173983594	-0.0832999124389343	-0.0152652187349938	0.0173854932159678	-0.126717028166204	0.215388759273165	-0.17653070145202	"S01"	1.29188721724073	"IS06"
"TPTEP2-CSNK1E"	"TPTEP2-CSNK1E"	-0.077490543188893	-0.0904307848217023	-0.0791076797375539	-0.074596318081838	-0.0760003404352605	1.22635618593896	-0.0746562829677559	-0.0746863015777148	-0.077458228533685	-0.0840474353048763	-0.0910513882469493	0.473326699757521	-0.0787721933943073	0.0878826267146668	-0.00710947031984274	-0.0745364494477434	"S01"	1.22635618593896	"IS06"
"GNB5"	"GNB5"	-0.110204618069472	0.0447678760562042	-0.0331910543301695	0.214336056526499	-0.0204199265557421	1.21459710246172	-0.137257898247137	-0.184398235457786	0.0357816876013812	0.0355514473441627	-0.155262248928928	0.0766177943589929	0.0991440117689289	-0.024813599825958	0.0341916456799145	0.459818805646216	"S01"	1.21459710246172	"IS06"
"IGHV4-31"	"IGHV4-31"	-0.076861231190742	-0.0896963832347656	-0.0784652347377379	-0.0739905105077142	-0.07538313059092	1.043728491855	-0.0740499884100516	-0.0740797632345028	-0.0768291789675598	-0.0833648738299586	-0.0903119466491218	0.751596868869335	-0.0781324729279934	-0.083139156662549	-0.0795837456432866	-0.0739311280755251	"S01"	1.043728491855	"IS06"
