"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"	"InitialState"
"FYB1"	"FYB1"	-0.532808048820102	-0.314334177722902	0.192698270548344	0.773151903878303	0.440167012928676	"S01"	0.773151903878303	"IS04"
"WNK1"	"WNK1"	-0.0481344100384155	-0.262895011999037	-0.0382736215727062	0.697808686829601	0.0625488043701538	"S01"	0.697808686829601	"IS04"
"PTPRC"	"PTPRC"	0.210103867478853	-0.214849381223457	-0.394248257526727	0.657814837296307	0.219339125666567	"S01"	0.657814837296307	"IS04"
"BCL11B"	"BCL11B"	-0.0633957007980618	-0.158659609388143	-0.16151745359172	0.594749694759852	0.201641181354814	"S01"	0.594749694759852	"IS04"
"AGFG1"	"AGFG1"	-0.0409437558059794	-0.15569905121342	-0.0937352589002988	0.594302278793425	0.0496809500216475	"S01"	0.594302278793425	"IS04"
"PKIA"	"PKIA"	-0.00886598344736318	-0.0628719468633969	-0.14460486366031	0.589064683131558	-0.0544197461869694	"S01"	0.589064683131558	"IS04"
"IKZF4"	"IKZF4"	-0.00633432980030617	-0.129142897871592	-0.0976919614133562	0.579118120863223	-0.0270375608896976	"S01"	0.579118120863223	"IS04"
"MAF"	"MAF"	0.290913661164772	-0.289055346341778	-0.208189992932487	0.573947607722188	-0.0418597753326634	"S01"	0.573947607722188	"IS04"
"HASPIN"	"HASPIN"	-0.096868899678777	-0.0402355358877709	-0.102088129187332	0.57176881635852	-0.0150457680823603	"S01"	0.57176881635852	"IS04"
"CDK6"	"CDK6"	0.121022661453179	-0.21919818327303	-0.212302924984849	0.569946952388728	0.117561490590802	"S01"	0.569946952388728	"IS04"
"RDH10"	"RDH10"	0.115217194515952	-0.0616683362852197	-0.215796333588793	0.567902449264416	-0.111013528909638	"S01"	0.567902449264416	"IS04"
"PTPN22"	"PTPN22"	-0.138489133387508	-0.27578276332257	-0.101125548713936	0.535076477480403	0.437850827620493	"S01"	0.535076477480403	"IS04"
"TAS2R30"	"TAS2R30"	-0.0812616390522776	-0.0821011187945532	-0.0856399601219047	0.531975786950927	0.0262463247931773	"S01"	0.531975786950927	"IS04"
"SYTL2"	"SYTL2"	0.133428154721716	-0.136949026940347	-0.255273838528319	0.529993114903566	0.0705957539534003	"S01"	0.529993114903566	"IS04"
"FAM107B"	"FAM107B"	-0.0422186223222247	-0.201209545593965	-0.00462238265096954	0.523837581947971	0.0218097663013325	"S01"	0.523837581947971	"IS04"
"CEP85L"	"CEP85L"	-0.0421557438019191	-0.153662822035345	-0.180030147650115	0.522323086578675	0.242739272730811	"S01"	0.522323086578675	"IS04"
"TOX2"	"TOX2"	0.236909560498731	-0.0889210744597973	-0.313173457685993	0.514159557148434	-0.0533590465479073	"S01"	0.514159557148434	"IS04"
"TNFRSF1B"	"TNFRSF1B"	0.0338451501502595	-0.326348934350102	-0.0203832434371523	0.512967937360446	0.134466274655197	"S01"	0.512967937360446	"IS04"
"RNF19A"	"RNF19A"	0.0485894411471264	-0.183131322963831	-0.22988352283625	0.510887405928317	0.241986481553156	"S01"	0.510887405928317	"IS04"
"ZNF282"	"ZNF282"	0.00177401256271133	-0.184055144031251	-0.0416125793923078	0.508911232192437	0.000585249163918195	"S01"	0.508911232192437	"IS04"
"TRIM8"	"TRIM8"	-0.150462728937601	-0.21535419753528	-0.0142121642341667	0.508480317732731	0.235021126900321	"S01"	0.508480317732731	"IS04"
"ETS1"	"ETS1"	-0.0452695151943747	-0.197531915967321	-0.279815717989771	0.507781759640146	0.492823822887947	"S01"	0.507781759640146	"IS04"
"MYO7A"	"MYO7A"	-0.119103926459124	-0.211070031656616	-0.0826526976711364	0.504951573330923	0.297783696619216	"S01"	0.504951573330923	"IS04"
"TRAV34"	"TRAV34"	-0.0270311380474553	-0.0719741169706602	-0.0750764495987059	0.493352986592516	-0.0628799144653421	"S01"	0.493352986592516	"IS04"
"DUSP16"	"DUSP16"	0.111836587511103	-0.237946431048839	-0.14986830227567	0.490341379376072	0.111166974867969	"S01"	0.490341379376072	"IS04"
"PDE3B"	"PDE3B"	0.103509742157039	-0.106577278576688	-0.21626970994119	0.48458609920872	0.0350016146467156	"S01"	0.48458609920872	"IS04"
"SMARCA2"	"SMARCA2"	-0.0659100285768352	-0.257286144207618	0.0247797334181922	0.483975325888633	0.123262693848488	"S01"	0.483975325888633	"IS04"
"SAMD9"	"SAMD9"	-0.127035102960149	-0.244105321443041	0.0564804034895325	0.474803704002296	0.148958054118102	"S01"	0.474803704002296	"IS04"
"FAM78A"	"FAM78A"	-0.167748956291188	-0.146924619495014	0.0234592198681206	0.470780567194276	0.118011820210361	"S01"	0.470780567194276	"IS04"
"PRDM1"	"PRDM1"	-0.073107875981328	-0.189401075714757	-0.121892887552028	0.469477548535869	0.28449472811844	"S01"	0.469477548535869	"IS04"
"ITGA4"	"ITGA4"	0.16995785347165	-0.14616515384222	-0.324459958822264	0.468014553774359	0.188175841295051	"S01"	0.468014553774359	"IS04"
"ASXL2"	"ASXL2"	0.0376537168956123	-0.185790727687596	-0.128055755818037	0.437235932053021	0.143154613139529	"S01"	0.437235932053021	"IS04"
"PDE4D"	"PDE4D"	0.160207918022669	-0.222250956204611	-0.315242671119168	0.432129988491948	0.330570722844568	"S01"	0.432129988491948	"IS04"
"C3orf49"	"C3orf49"	-0.0518958008726529	-0.0524319145180315	-0.0546919108334639	0.430119434351309	-0.0458069433695438	"S01"	0.430119434351309	"IS04"
"MS4A10"	"MS4A10"	-0.0518644808957978	-0.0524002709876966	-0.0546589033578559	0.429859850136358	-0.0457792981192151	"S01"	0.429859850136358	"IS04"
"SHC4"	"SHC4"	0.0164487283428226	-0.0853573453298141	-0.0798410484703777	0.426905852245514	-0.0542115857282673	"S01"	0.426905852245514	"IS04"
"PRR5L"	"PRR5L"	0.00913853382909357	0.0140067572318133	-0.255371994116281	0.426855667797145	0.0966387309058471	"S01"	0.426855667797145	"IS04"
"MAP3K15"	"MAP3K15"	-0.0511849041430626	-0.051713673813962	-0.0539427114783569	0.424227425863688	-0.0451794551010065	"S01"	0.424227425863688	"IS04"
"ARHGAP9"	"ARHGAP9"	-0.141547572433378	-0.20447805910256	0.015124808376211	0.422676866541232	0.214830788312042	"S01"	0.422676866541232	"IS04"
"SNX9"	"SNX9"	0.338963162871115	-0.343957617666198	-0.14306869742297	0.421481235365207	-0.0331721269075318	"S01"	0.421481235365207	"IS04"
"PNMA3"	"PNMA3"	-0.0192135469721188	-0.0817686179358475	-0.085293127329634	0.420061274630513	0.0082976266827644	"S01"	0.420061274630513	"IS04"
"PRKCQ"	"PRKCQ"	-0.0117226564548532	-0.192230482130111	0.0417295152222941	0.41967854812098	-0.0440354375774218	"S01"	0.41967854812098	"IS04"
"TRAV38-1"	"TRAV38-1"	-0.0502490287530369	-0.0507681302897419	-0.052956411767748	0.416470763732798	-0.0443533845852618	"S01"	0.416470763732798	"IS04"
"STK17B"	"STK17B"	0.270213055401809	-0.264050454945975	-0.307847779116465	0.414836556390419	0.227850611007381	"S01"	0.414836556390419	"IS04"
"CNOT6L"	"CNOT6L"	0.254350759742843	-0.164219773524555	-0.353737896175884	0.412438705924372	0.17544184878987	"S01"	0.412438705924372	"IS04"
"APBB1IP"	"APBB1IP"	-0.0752532757468376	-0.158437642408266	-0.127307663462036	0.410354369582789	0.289662816877796	"S01"	0.410354369582789	"IS04"
"MSN"	"MSN"	0.0109075818705757	-0.36225445880704	0.0822440021937618	0.404382498386436	0.128358686865345	"S01"	0.404382498386436	"IS04"
"SPOCK2"	"SPOCK2"	0.312481885647416	-0.204412778238772	-0.457105290063284	0.393688698265902	0.335628347966355	"S01"	0.393688698265902	"IS04"
"CTLA4"	"CTLA4"	0.129678010245001	-0.0910603922448126	-0.381469132004145	0.393420007991598	0.310954318453162	"S01"	0.393420007991598	"IS04"
"ATXN1"	"ATXN1"	0.0987889665920876	-0.26181289040642	-0.115460484645849	0.385264154174605	0.183171839280198	"S01"	0.385264154174605	"IS04"
"GATA3"	"GATA3"	-0.0681867454614258	-0.147006224574707	-0.0208509740297805	0.378725736543874	0.104735879612304	"S01"	0.378725736543874	"IS04"
"SLC7A5"	"SLC7A5"	0.139309240109012	-0.220980979825148	-0.0927676652965577	0.378376351298773	0.024912131249263	"S01"	0.378376351298773	"IS04"
"FUT8"	"FUT8"	-0.0599729801063697	-0.208913711867708	-0.0378508218652734	0.37769455017627	0.217591318031514	"S01"	0.37769455017627	"IS04"
"ITK"	"ITK"	0.108231857647422	-0.206371968020412	-0.266461837013842	0.377487357288794	0.341033454546484	"S01"	0.377487357288794	"IS04"
"ARID5B"	"ARID5B"	0.364669453250352	-0.182467576927304	-0.207102739987767	0.375438283000851	-0.183932281304774	"S01"	0.375438283000851	"IS04"
"TUBA3D"	"TUBA3D"	-0.135874068425625	-0.137277726157295	0.00768942861285104	0.37070339681	0.150267013864795	"S01"	0.37070339681	"IS04"
"TRBV7-3"	"TRBV7-3"	-0.0446592602975057	-0.103818788762735	-0.0698415476749419	0.367003330967642	0.0920722368531618	"S01"	0.367003330967642	"IS04"
"ADGRG1"	"ADGRG1"	-0.0413910881287334	-0.143085584979842	-0.047373070514103	0.366341700612609	0.110912560735057	"S01"	0.366341700612609	"IS04"
"AHI1"	"AHI1"	-0.0307982479185781	-0.158116935916245	-0.159289319450984	0.366229489985674	0.30570320561639	"S01"	0.366229489985674	"IS04"
"LINC02210-CRHR1"	"LINC02210-CRHR1"	0.00827410519926705	-0.0637274690462402	-0.0664743427120264	0.366096626229902	-0.0556752617660293	"S01"	0.366096626229902	"IS04"
"CBLB"	"CBLB"	-0.0856320308460088	-0.21294132681161	0.00948049000092588	0.359864671862594	0.195910879503601	"S01"	0.359864671862594	"IS04"
"CELF2"	"CELF2"	-0.168893841902127	-0.32877768221122	0.153989374689442	0.354344697505765	0.264148669252607	"S01"	0.354344697505765	"IS04"
"FKBP5"	"FKBP5"	-0.219609214215651	-0.310508984567976	0.236124935300766	0.344486079507563	0.182109998513753	"S01"	0.344486079507563	"IS04"
"SKAP1"	"SKAP1"	0.138745501614339	-0.353125226846687	-0.0807006627739209	0.335547458046057	0.240443263388825	"S01"	0.335547458046057	"IS04"
"KMT2E"	"KMT2E"	0.0707112111928734	-0.216528263156671	-0.12506935385764	0.325821837691956	0.212764624002026	"S01"	0.325821837691956	"IS04"
