"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"	"InitialState"
"BCL11B"	"BCL11B"	-0.190923044370267	-0.181040480457108	0.801888261342921	0.0687694156136564	-0.227677940960336	0.26001391461927	-0.308303042870477	"S01"	0.801888261342921	"IS03"
"SMAP2"	"SMAP2"	-0.46969763075919	0.232009379750475	0.775831129080524	-0.0513963078593708	-0.0144101137211956	0.129530581497493	-0.110428553220568	"S01"	0.775831129080524	"IS03"
"ZNF292"	"ZNF292"	-0.294723550476729	-0.0407648230595407	0.770141962678446	-0.0223032075347229	0.114984442282783	-0.111750914831562	-0.134639275517256	"S01"	0.770141962678446	"IS03"
"TTN"	"TTN"	-0.181292168996069	-0.0369927495943606	0.769269108366534	-0.151786218176649	-0.035597661929552	0.126789729322356	-0.198698682730273	"S01"	0.769269108366534	"IS03"
"ANKRD12"	"ANKRD12"	-0.351414725648233	0.132480991269694	0.768769612767431	0.0471780583434044	-0.158173018245933	-0.150460914839004	-0.0513007760358301	"S01"	0.768769612767431	"IS03"
"IL7R"	"IL7R"	-0.280813943023941	0.39009020331238	0.765391847884466	-0.170261772315417	-0.014287338956671	0.1723580999122	-0.281334273936484	"S01"	0.765391847884466	"IS03"
"WNK1"	"WNK1"	-0.392800993472713	-0.083437790715884	0.751430618050164	0.0533478864926186	-0.00665872583185578	0.262118517572902	-0.206555513029674	"S01"	0.751430618050164	"IS03"
"SYNE2"	"SYNE2"	-0.134588432919139	-0.0199183402535335	0.716725669586238	-0.0919524422052878	-0.276118549439543	-0.0320053368636524	-0.0722948042730725	"S01"	0.716725669586238	"IS03"
"REL"	"REL"	-0.49364023001371	-0.0551886155778438	0.687796139921578	-0.492120984653758	0.344855099134603	0.125650271327562	0.263402834732941	"S01"	0.687796139921578	"IS03"
"PTPRC"	"PTPRC"	-0.464593198660228	0.161399012591107	0.685080465080503	0.0681764496313859	-0.145764601625015	0.222043250296222	-0.115111551775873	"S01"	0.685080465080503	"IS03"
"RASGRP1"	"RASGRP1"	-0.390529294856002	-0.129906001767205	0.674952332161413	0.0507215675632553	0.0315088898041811	0.392539060948863	-0.228155500927604	"S01"	0.674952332161413	"IS03"
"CDKN1B"	"CDKN1B"	-0.366887932506247	0.34875843494769	0.654428754824562	-0.113276371259478	-0.110373565404272	-0.0582436091696567	0.00744718326227786	"S01"	0.654428754824562	"IS03"
"CNOT6L"	"CNOT6L"	-0.253838541653448	-0.160845201213848	0.649457525172056	-0.207241510137323	-0.254002959579015	0.187458711927723	0.109732182932061	"S01"	0.649457525172056	"IS03"
