"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"State"	"MaxFC"	"InitialState"
"GRM3"	"GRM3"	-0.0368745959000843	-0.039603520666048	-0.0421995129029058	-0.0365129260895504	5.03663598117622	-0.0370501132323651	-0.038054582968887	-0.0360062286290983	-0.0354839667136327	-0.0394030426507114	-0.0392225431424626	-0.0344975067203851	-0.0346791460834329	"S01"	5.03663598117622	"IS05"
"TTC36"	"TTC36"	-0.0304382737339826	-0.0326908749353874	-0.0348337464811767	-0.0301397320299819	4.15751009472397	-0.0305831551753819	-0.03141229849347	-0.0297214767074464	-0.02929037364704	-0.0325253896043753	-0.0323763956071038	-0.0284760965392053	-0.0286260314339034	"S01"	4.15751009472397	"IS05"
"CHURC1-FNTB"	"CHURC1-FNTB"	-0.0424612355110558	-0.0456036026164068	-0.0485928974158066	-0.0420447713674506	3.27198401003569	-0.0426633443776164	-0.0438199950474096	-0.0414613073409048	-0.0408599207860222	0.104784854613216	-0.0451649055687914	-0.0397240084031715	-0.0399331668111266	"S01"	3.27198401003569	"IS05"
"ATP6V1G3"	"ATP6V1G3"	-0.0215331610680448	-0.0231267345050879	-0.0246426811237063	-0.0213219616204691	2.94117647058824	-0.0216356555603635	-0.0222222222222222	-0.0210260723296888	-0.0207210940737671	-0.0230096640589047	-0.0229042601923958	-0.0201450443190975	-0.0202511138112596	"S01"	2.94117647058824	"IS05"
"VN1R1"	"VN1R1"	-0.0215331610680448	-0.0231267345050879	-0.0246426811237063	-0.0213219616204691	2.94117647058824	-0.0216356555603635	-0.0222222222222222	-0.0210260723296888	-0.0207210940737671	-0.0230096640589047	-0.0229042601923958	-0.0201450443190975	-0.0202511138112596	"S01"	2.94117647058824	"IS05"
"TRAJ54"	"TRAJ54"	-0.0215331610680448	-0.0231267345050879	-0.0246426811237063	-0.0213219616204691	2.94117647058824	-0.0216356555603635	-0.0222222222222222	-0.0210260723296888	-0.0207210940737671	-0.0230096640589047	-0.0229042601923958	-0.0201450443190975	-0.0202511138112596	"S01"	2.94117647058824	"IS05"
"TRAJ39"	"TRAJ39"	-0.0215331610680448	-0.0231267345050879	-0.0246426811237063	-0.0213219616204691	2.94117647058824	-0.0216356555603635	-0.0222222222222222	-0.0210260723296888	-0.0207210940737671	-0.0230096640589047	-0.0229042601923958	-0.0201450443190975	-0.0202511138112596	"S01"	2.94117647058824	"IS05"
"PNMA6F"	"PNMA6F"	-0.0215331610680448	-0.0231267345050879	-0.0246426811237063	-0.0213219616204691	2.94117647058824	-0.0216356555603635	-0.0222222222222222	-0.0210260723296888	-0.0207210940737671	-0.0230096640589047	-0.0229042601923958	-0.0201450443190975	-0.0202511138112596	"S01"	2.94117647058824	"IS05"
"TAGLN3"	"TAGLN3"	-0.0215331610680448	-0.0231267345050879	-0.0246426811237063	-0.0213219616204691	2.94117647058824	-0.0216356555603635	-0.0222222222222222	-0.0210260723296888	-0.0207210940737671	-0.0230096640589047	-0.0229042601923958	-0.0201450443190975	-0.0202511138112596	"S01"	2.94117647058824	"IS05"
"FSBP"	"FSBP"	0.0305413913291314	-0.0232019622528137	-0.0827258438965613	-0.0715781395591142	2.7314681234536	-0.072631214740858	-0.0746003276738324	-0.0705848348469818	-0.0695610183448499	0.23123507093136	-0.0768899391965748	-0.0676272108243847	-0.0679832876736018	"S01"	2.7314681234536	"IS05"
"TRBV12-5"	"TRBV12-5"	-0.0517735573208751	-0.0556050879274153	-0.0592499754061469	-0.0512657569718857	2.69125075804614	-0.0520199913886075	-0.0534303111551431	-0.0505543314125618	-0.0498210526726365	0.204891634566727	-0.0550701786986129	-0.0484360193791587	-0.0486910490478218	"S01"	2.69125075804614	"IS05"
"TRAJ49"	"TRAJ49"	-0.029878424960083	-0.0320895942448255	-0.0341930521228746	-0.0295853743101546	2.43321617556918	0.129227737913967	-0.0308345345588056	-0.0291748119248581	-0.0287516381091225	-0.0319271526724863	-0.0317808991100837	-0.0279523379360647	-0.0280995150900416	"S01"	2.43321617556918	"IS05"
"CKLF-CMTM1"	"CKLF-CMTM1"	-0.0675145725384008	-0.00697812514646708	-0.0422489613266883	-0.0668523827011372	1.92029048981454	-0.067835931386485	-0.0696750388596297	-0.0659246582986404	0.08539854417014	0.202679898950759	-0.071813484853031	-0.0631623035592936	-0.0634948713787634	"S01"	1.92029048981454	"IS05"
"LPAR2"	"LPAR2"	-0.0591145424868147	-0.131852364965634	0.0589975412401298	0.137654674475713	1.21418629876188	-0.037775545873596	-0.0024165640218296	-0.103152855848986	-0.0855075846665161	0.0978706778029735	-0.0348385570862061	0.0851963773188677	-0.266379934356731	"S01"	1.21418629876188	"IS05"
"GRAMD1B"	"GRAMD1B"	0.259463122723682	-0.0724933697266869	-0.112251895222607	-0.236375314506221	1.07373994827836	0.0938390485048722	-0.145425959927926	0.272608818534682	-0.0308616401922074	0.160750205892883	-0.108928274178867	0.202234456496581	0.181973030361195	"S01"	1.07373994827836	"IS05"
"AQP3"	"AQP3"	-0.00948648462150736	-0.422798030074385	-0.0827142347719787	0.0596771418482651	1.02609288895078	0.131591273560451	-0.383887153038156	0.0385768646688437	0.204605973369914	0.471491036815167	0.110834685769088	0.0673037434451132	0.215680046891586	"S01"	1.02609288895078	"IS05"
"ITGA1"	"ITGA1"	0.133604610252767	-0.191795806791864	-0.250906055471457	-0.066703723040376	0.948161975437078	0.394834187726557	-0.0568848480040627	0.227603525402984	0.374346812839329	-0.0484999859412203	0.0585569375205861	0.272326511562141	0.0736371486157316	"S01"	0.948161975437078	"IS05"
"ARSG"	"ARSG"	-0.0259183168045579	-0.0718335916190581	-0.131171075584383	-0.113204693605101	0.882642666692504	0.0433873940989092	-0.0468845123696726	0.0699727019860779	0.249322760254785	0.180717167278408	-0.00753886933891438	0.0738780559194687	0.00960338459925692	"S01"	0.882642666692504	"IS05"
"TRAV19"	"TRAV19"	0.0858256185606417	-0.045292075682679	-0.103466893147613	-0.0895242329196194	0.849641910451592	-0.0286919818400728	-0.0179542104619902	-0.0273939790607429	-0.0870013784486148	0.274346759608173	-0.0616089117010133	-0.0845827261065703	-0.0850280786539115	"S01"	0.849641910451592	"IS05"
"GOLGA8B"	"GOLGA8B"	0.341792027060584	-0.0925554244716124	-0.115899463289513	-0.129614380406715	0.786470903299443	0.0763629302747768	-0.230699816239496	0.187076974340427	-0.0951326602982835	0.229066435334156	-0.0565543208723429	0.236517489571408	-0.274953537354943	"S01"	0.786470903299443	"IS05"
"ZBTB7B"	"ZBTB7B"	-0.0170567949739332	-0.116092081210663	-0.163076576685902	-0.112351818760065	0.734913421107345	0.205580031674731	-0.124080809929158	0.449184928540981	-0.0755275075021807	0.0937877904423186	0.073570614894237	-0.247427290871758	0.216723820187244	"S01"	0.734913421107345	"IS05"
"TMPRSS3"	"TMPRSS3"	-0.0078034482401893	-0.0863706006888824	-0.068908208983964	-0.106150773607497	0.730643535722498	-0.0744045279540563	0.0143526617318028	-0.0952523193760286	0.432105400446549	0.174918105637558	-0.0692770097089875	-0.221879237768378	0.455246285412586	"S01"	0.730643535722498	"IS05"
"THEMIS"	"THEMIS"	0.0813144698449705	-0.269932620759341	-0.256965386331663	-0.205249759875076	0.724481950667504	0.461677093094097	-0.279521655936366	0.278777360562755	0.344537516083111	0.435516132079837	-0.115511944481345	0.193748957466144	0.227691928022043	"S01"	0.724481950667504	"IS05"
"AGAP2"	"AGAP2"	0.000770515489086331	-0.204476498005632	-0.159965990835668	-0.113687154439616	0.710717501783005	0.135384380867721	0.0298035771549013	0.221266875691778	0.0203460785095523	0.103963173100094	0.112056664692879	0.21055786719039	0.105995614395138	"S01"	0.710717501783005	"IS05"
"ADA"	"ADA"	-0.0114263105062577	-0.318017529758189	0.223153675621448	-0.232445401206846	0.675475308355217	-0.222835508962528	-0.251016039398574	0.0582237612030431	0.159618942638241	0.0651032118566635	0.287159257051811	0.0571473356458275	0.266890487576458	"S01"	0.675475308355217	"IS05"
"ARL6IP5"	"ARL6IP5"	-0.0515544396934149	-0.36914817272184	0.0984593284129312	-0.00997438228370615	0.666945851800996	-0.139718466482623	-0.295900297370672	0.231427902584432	0.0978867813994473	0.238622817046964	0.213322778786862	-0.0220980960931075	-0.0518473691969366	"S01"	0.666945851800996	"IS05"
"ADAM12"	"ADAM12"	-0.0117503252204376	-0.082929055468691	0.0511900757349136	-0.233198680188608	0.655937342644004	0.179744422213996	-0.178939505673674	0.158102140137781	0.354105961871215	-0.0163922115018034	-0.0483443218698421	0.0829973849463296	0.221391840152588	"S01"	0.655937342644004	"IS05"
"TRBV7-2"	"TRBV7-2"	-0.0947428745710243	-0.101754373151674	-0.108424324669255	-0.0938136267607328	0.625811204916492	-0.0951938358952482	-0.0977746465572971	-0.092511755573557	-0.0911698942204387	0.558115802190988	-0.0768014319042401	-0.088635356468138	0.364489703800506	"S01"	0.625811204916492	"IS05"
"CYFIP2"	"CYFIP2"	0.366267228782306	-0.232941358853438	-0.04321545023708	-0.228006999390808	0.622888044803146	0.15004670766822	-0.044569094308663	0.203745144214528	-0.0122449142112484	0.167436366729541	-0.151781689031145	0.181118089556868	-0.0302877481613487	"S01"	0.622888044803146	"IS05"
"CAPZB"	"CAPZB"	0.0787219748397774	-0.59026073849694	0.10735206343181	-0.465522318668413	0.607016747805117	-0.197579500429019	-0.024335857106149	0.00268381189013609	-0.11010115600845	0.541609414081529	0.255169061060352	-0.174157762304747	0.110557455299433	"S01"	0.607016747805117	"IS05"
"ACAP1"	"ACAP1"	-0.218259792046062	-0.159354648167168	-0.0128554213096153	-0.330629961652633	0.602946427164708	-0.396029428120969	0.10930726022869	0.262194563948655	0.379377632148155	0.088950146851793	0.251745141293616	0.230180566348288	0.284201170362492	"S01"	0.602946427164708	"IS05"
"LRRN3"	"LRRN3"	-0.108013609142106	-0.0929083924753041	0.0138293058097267	-0.0522070310157812	0.593223886990353	-0.0685573908633748	-0.166474326009256	0.108649767415774	-0.170353074132162	0.340872518663753	-0.0414562578511742	-0.291248818393162	0.26875029933603	"S01"	0.593223886990353	"IS05"
"TRGV3"	"TRGV3"	-0.010904810127896	-0.10415051798477	-0.0838484071746852	-0.0960227803339325	0.592282645955654	-0.0974354910787848	-0.100077075503587	-0.0946902522636971	-0.0933167923261797	0.561482411258451	-0.103148611948269	-0.0907225704605446	-0.0912002510664527	"S01"	0.592282645955654	"IS05"
"TRBV3-1"	"TRBV3-1"	-0.110831823127551	-0.0815447780130594	-0.0311081430160422	-0.109744773263187	0.586039140733742	0.0728601668071808	-0.114378441467632	-0.020485456043315	-0.106652090054775	0.380219059459218	-0.0882218901833727	-0.103687144763164	0.0866994706873658	"S01"	0.586039140733742	"IS05"
"GPR34"	"GPR34"	-0.235253432155305	-0.0512786322929341	-0.161195095149587	-0.196132530186555	0.56800744439661	-0.122647404359685	-0.0679438290295278	-0.0405359743614566	0.277757483653803	0.159232476557432	0.344410204723356	0.370282892666239	0.17351784705361	"S01"	0.56800744439661	"IS05"
"FKBP8"	"FKBP8"	-0.613456660210591	-0.249804473213207	0.0981627605999064	-0.110017469972271	0.567407482652422	-0.218344012006287	0.0707407135464288	-0.0808038064633128	0.143205718235511	0.310087958585995	0.243739795453699	0.0562984712619464	0.20584894017163	"S01"	0.567407482652422	"IS05"
"RUNX2"	"RUNX2"	-0.0196870193132666	-0.140586916486052	-0.178423012529346	-0.0966872428398864	0.561276157874698	-0.3371026819683	0.019452100592051	0.201028440697952	0.0317310583911617	0.520992767253767	-0.0361793441597062	0.307047554064798	0.0687986523146724	"S01"	0.561276157874698	"IS05"
"CLIC5"	"CLIC5"	0.0219060144716126	-0.10656623775673	-0.159741271030927	-0.0908591206999783	0.539575950344461	-0.219137010682869	0.0296259847188711	-0.031120660739044	-0.0646566259154733	0.392433764928639	0.0645710692613196	-0.252521023993055	0.275996801085928	"S01"	0.539575950344461	"IS05"
"TPM3"	"TPM3"	0.322943825615846	-0.432250019169717	-0.0928420249011601	-0.247739728466793	0.53182874250727	0.00906081155320904	-0.185277427097776	0.218652014341206	0.244911652855183	0.382945413703587	0.0726922922441157	-0.283566925660334	0.187901400808608	"S01"	0.53182874250727	"IS05"
"SP140"	"SP140"	-0.00988573322226063	-0.165670050839814	-0.137300019991782	-0.0808519804794031	0.513005986540536	0.143693203494937	-0.0369793271419376	0.0495393754172274	0.184931055139195	0.281995792992264	-0.07244533467464	-0.257246688378801	0.394399626732748	"S01"	0.513005986540536	"IS05"
"TUBA4A"	"TUBA4A"	-0.402297010873027	-0.279844149930976	-0.106215250076097	0.053323839719843	0.507389644001079	0.091242521639703	0.24151172843381	0.0719998624281356	0.00296862826030616	0.339381191762894	0.0207380617777796	0.331898750602535	-0.471238928042496	"S01"	0.507389644001079	"IS05"
"IL27RA"	"IL27RA"	-0.128900216697833	-0.239518719666155	-0.0227725027853866	-0.0406664768128257	0.506526461493255	0.301864100166284	-0.0978416063322373	0.216642573764669	0.0546177500019458	0.161071632853768	-0.0421230189088105	-0.243538702149349	0.234088949712577	"S01"	0.506526461493255	"IS05"
"POLR3GL"	"POLR3GL"	-0.392839633944573	-0.0728915532868482	-0.0353370531109235	-0.00666954628359832	0.496230881639075	0.0642373088776398	-0.13282931881354	-0.132365485946889	0.0289272143244275	0.289091475830378	0.121432513429403	0.188610383195189	0.156644710185669	"S01"	0.496230881639075	"IS05"
"CASP8"	"CASP8"	0.00154528215530151	-0.296280441557775	-0.0232070181125296	0.068391835789302	0.48302541113996	0.0903857301626588	-0.129065318522193	0.481031851599889	-0.103306238773143	0.224138337993205	-0.0789427880731635	0.276107865870533	-0.116531624223018	"S01"	0.48302541113996	"IS05"
"DOK2"	"DOK2"	-0.100292977373751	-0.302513800974188	0.0607243696038435	0.261400299714146	0.478038361755561	0.0615678880662568	-0.0235929808592036	-0.135750346020225	-0.0896124262369218	0.129980828758441	0.0542698475815705	0.202893337328145	-0.0667817856517521	"S01"	0.478038361755561	"IS05"
