"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"	"InitialState"
"ASIC2"	"ASIC2"	-0.0385023504641638	-0.0385194702287099	3.60959535601536	-0.0512908753963106	-0.0389699903483439	-0.0371803813495144	-0.0380290994488009	-0.0432071264560442	"S01"	3.60959535601536	"IS03"
"RTL1"	"RTL1"	-0.037865177648742	-0.0378820140994529	3.54986040456957	-0.050442066139532	-0.0383250785918442	-0.0365650857123046	-0.0373997584326908	-0.0424920946182891	"S01"	3.54986040456957	"IS03"
"RTP5"	"RTP5"	0.0507397794606515	0.0116744450382473	3.14904959715766	-0.0928480128944463	-0.00210725414765864	-0.0673048471153304	-0.0688412176377172	-0.0325530238526923	"S01"	3.14904959715766	"IS03"
"PRSS27"	"PRSS27"	-0.0664988276569714	-0.0665283958328972	2.80231510549849	-0.028692177810092	-0.0125166617027418	-0.0642156061065175	0.108646436835717	-0.0746246195651799	"S01"	2.80231510549849	"IS03"
"IGDCC3"	"IGDCC3"	-0.049470728025105	0.0353481119338798	2.76340276515265	-0.0659023907972091	-0.0500715870699443	-0.0477721622560026	0.0766947926744414	-0.0555157795792948	"S01"	2.76340276515265	"IS03"
"EYA1"	"EYA1"	-0.0384816946881382	-0.0384988052682574	2.36624650928132	-0.051263358820788	-0.0389490836924475	-0.0371604347846828	0.107863073431253	-0.0431839466575117	"S01"	2.36624650928132	"IS03"
"ANKUB1"	"ANKUB1"	-0.0222222222222222	-0.0222321031569586	2.08333333333333	-0.029603315571344	-0.0224921277552856	-0.0214592274678112	-0.0219490781387182	-0.0249376558603491	"S01"	2.08333333333333	"IS03"
"DDX4"	"DDX4"	-0.0222222222222222	-0.0222321031569586	2.08333333333333	-0.029603315571344	-0.0224921277552856	-0.0214592274678112	-0.0219490781387182	-0.0249376558603491	"S01"	2.08333333333333	"IS03"
"MDGA2"	"MDGA2"	-0.0222222222222222	-0.0222321031569586	2.08333333333333	-0.029603315571344	-0.0224921277552856	-0.0214592274678112	-0.0219490781387182	-0.0249376558603491	"S01"	2.08333333333333	"IS03"
"PAX3"	"PAX3"	-0.0222222222222222	-0.0222321031569586	2.08333333333333	-0.029603315571344	-0.0224921277552856	-0.0214592274678112	-0.0219490781387182	-0.0249376558603491	"S01"	2.08333333333333	"IS03"
