"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"T_cac10"	"T_cac10"	"E2"	3.1444682867335e-07	1.67704975292454e-06	TRUE	"E2"
"T_cac11"	"T_cac11"	"E2"	4.05172334276335e-08	3.24137867421068e-07	TRUE	"E2"
"T_cac12"	"T_cac12"	"E2"	7.00198622811954e-07	3.25253553822327e-06	TRUE	"E2"
"T_cac13"	"T_cac13"	"E2"	0.00180676666746746	0.00351587027182858	TRUE	"E2"
"T_cac14"	"T_cac14"	"E2"	1.48999455800469e-06	6.70497551102111e-06	TRUE	"E2"
"T_cac15"	"T_cac15"	"E2"	3.40146759836634e-11	6.99730477378220e-10	TRUE	"E2"
"T_cac16"	"T_cac16"	"E2"	3.33419307554924e-08	2.82425766399465e-07	TRUE	"E2"
"T_cac4"	"T_cac4"	"E2"	2.65247202509334e-08	2.38722482258401e-07	TRUE	"E2"
"T_cac5"	"T_cac5"	"E2"	0.00476586648681533	0.00817005683454057	TRUE	"E2"
"T_cac6"	"T_cac6"	"E2"	6.50090723742986e-08	4.45776496280904e-07	TRUE	"E2"
"T_cac8"	"T_cac8"	"E2"	7.6816477644956e-11	1.2290636423193e-09	TRUE	"E2"
"T_cac9"	"T_cac9"	"E2"	9.25568224972078e-08	5.79486193025997e-07	TRUE	"E2"
"T_cac1"	"T_cac1"	"E2"	0.0311100358306054	0.04109949687713	TRUE	"E2"
"T_cac7"	"T_cac7"	"E2"	0.000169523960779318	0.000435918756289674	TRUE	"E2"
"T_cac2"	"T_cac2"	"E2"	0.191090721678744	0.205351223296561	TRUE	"E2"
"T_cac3"	"T_cac3"	"E2"	0.214193703655074	0.225137907491465	TRUE	"E2"
"GSM4904235"	"GSM4904235"	"E3"	7.75296602429024e-06	2.72299294511657e-05	TRUE	"E3"
"GSM4904236"	"GSM4904236"	"E3"	1.38810952566353e-05	4.54290390217156e-05	TRUE	"E3"
"GSM4904238"	"GSM4904238"	"E3"	0.000650520368667454	0.00146367082950177	TRUE	"E3"
"GSM4904239"	"GSM4904239"	"E3"	2.3761156913937e-05	7.43827520784116e-05	TRUE	"E3"
"GSM4904242"	"GSM4904242"	"E3"	3.68680843316791e-05	0.000108347023342077	TRUE	"E3"
"GSM4904243"	"GSM4904243"	"E3"	0.000196060438612308	0.000486770744140903	TRUE	"E3"
"GSM4904245"	"GSM4904245"	"E3"	0.000914102481494204	0.00196463816918157	TRUE	"E3"
"C165"	"C165"	"E4"	0.565409753985759	0.569363668349296	TRUE	"E4"
"GSM5688706"	"GSM5688706"	"E5"	0.012107689167047	0.0185479493622847	TRUE	"E5"
"GSM5688707"	"GSM5688707"	"E5"	0.00186180442833153	0.00357466450239653	TRUE	"E5"
"GSM5688708"	"GSM5688708"	"E5"	0.196291059572543	0.209377130210713	TRUE	"E5"
"GSM5688709"	"GSM5688709"	"E5"	0.0137760296956532	0.0208815608018323	TRUE	"E5"
