"CellType"	"State"	"InitialEcotype"	"ID"	"Cell type"	"Ecotype"
"B.cells"	"S05"	"IE05"	"B.cells_S05"	"B.cells"	"E1"
"CD4+Tfh"	"S01"	"IE05"	"CD4+Tfh_S01"	"CD4+Tfh"	"E1"
"CD8+Tc17"	"S08"	"IE05"	"CD8+Tc17_S08"	"CD8+Tc17"	"E1"
"B.cells"	"S07"	"IE07"	"B.cells_S07"	"B.cells"	"E2"
"CD4+Tfh"	"S10"	"IE07"	"CD4+Tfh_S10"	"CD4+Tfh"	"E2"
"CD4+TH1_like"	"S02"	"IE07"	"CD4+TH1_like_S02"	"CD4+TH1_like"	"E2"
"CD4+Tn"	"S03"	"IE07"	"CD4+Tn_S03"	"CD4+Tn"	"E2"
"CD4+Treg"	"S02"	"IE07"	"CD4+Treg_S02"	"CD4+Treg"	"E2"
"CD4+Trm"	"S03"	"IE07"	"CD4+Trm_S03"	"CD4+Trm"	"E2"
"CD8+Tc"	"S03"	"IE07"	"CD8+Tc_S03"	"CD8+Tc"	"E2"
"CD8+Tc17"	"S02"	"IE07"	"CD8+Tc17_S02"	"CD8+Tc17"	"E2"
"CD8+Tem"	"S02"	"IE07"	"CD8+Tem_S02"	"CD8+Tem"	"E2"
"Endothelial.cells"	"S05"	"IE07"	"Endothelial.cells_S05"	"Endothelial.cells"	"E2"
"ISG_CD8+T"	"S05"	"IE07"	"ISG_CD8+T_S05"	"ISG_CD8+T"	"E2"
"NK"	"S04"	"IE07"	"NK_S04"	"NK"	"E2"
"Plasma"	"S04"	"IE07"	"Plasma_S04"	"Plasma"	"E2"
"B.cells"	"S08"	"IE08"	"B.cells_S08"	"B.cells"	"E3"
"CD4+Tfh"	"S09"	"IE08"	"CD4+Tfh_S09"	"CD4+Tfh"	"E3"
"CD4+Trm"	"S08"	"IE08"	"CD4+Trm_S08"	"CD4+Trm"	"E3"
"CD8+Tc17"	"S06"	"IE08"	"CD8+Tc17_S06"	"CD8+Tc17"	"E3"
"cDC1"	"S06"	"IE08"	"cDC1_S06"	"cDC1"	"E3"
"cDC2"	"S02"	"IE08"	"cDC2_S02"	"cDC2"	"E3"
"Epithelial.cells"	"S04"	"IE08"	"Epithelial.cells_S04"	"Epithelial.cells"	"E3"
"Monocyte"	"S05"	"IE08"	"Monocyte_S05"	"Monocyte"	"E3"
"NK"	"S01"	"IE08"	"NK_S01"	"NK"	"E3"
