"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"State"	"MaxFC"	"InitialState"
"LTB"	"LTB"	-0.443762664582014	-0.223675812114368	-0.471889533695252	-0.349291066686684	0.0720487254362691	1.06447055596093	-0.389416136531738	0.418414591409179	0.301285584718504	"S01"	1.06447055596093	"IS06"
"IL7R"	"IL7R"	-0.583125075149288	0.0880153756444042	-0.557470895753182	-0.20730874589245	0.044786462163388	0.969849303752923	-0.423017426531986	0.760503839106317	-0.153135838670487	"S01"	0.969849303752923	"IS06"
"GIMAP7"	"GIMAP7"	0.449807843574867	-0.166807744539975	-0.195067778809768	-0.363864323424404	-0.191093532045261	0.605265397542939	-0.0791551334984601	0.026247196123823	0.315752727678341	"S01"	0.605265397542939	"IS06"
"EEF1A1"	"EEF1A1"	0.157053919766029	-0.112252570926081	-0.0643461259913035	0.255632988074744	0.322216744942023	0.59451065588127	-0.116173642288551	-2.80517787126299	0.146696932300199	"S01"	0.59451065588127	"IS06"
"RCAN3"	"RCAN3"	-0.123421699806711	-0.230472488356059	-0.1511606064388	-0.108546552319172	-0.0754879565936127	0.592432490209745	-0.118514015960925	-0.227003359291088	0.343947282909361	"S01"	0.592432490209745	"IS06"
"SLAMF1"	"SLAMF1"	-0.167591574452746	-0.00992460997138661	0.131080265608907	-0.229512696234944	-0.202025292557302	0.571086679071114	-0.287126185030895	0.131215936387606	0.0994981924630199	"S01"	0.571086679071114	"IS06"
"RPL30"	"RPL30"	0.151877815327219	-1.18323055938928	-0.284150330459821	0.0934331503506094	0.197094859940647	0.564554850064717	-0.0258498027470708	-0.30298967255594	0.0324633434697352	"S01"	0.564554850064717	"IS06"
"SPOCK2"	"SPOCK2"	-0.238945041735135	0.090543852518457	-0.0768718437366358	0.0398098337041723	-0.348316051948408	0.559278634662679	-0.287546639139612	0.373746955682776	-0.0138390995586989	"S01"	0.559278634662679	"IS06"
"CDC14A"	"CDC14A"	0.0712232013248938	-0.171962517967724	-0.247336169322512	-0.195088801119004	-0.0691081128846648	0.543947570939359	-0.00621353903083922	0.0702846348407984	0.0589794647507358	"S01"	0.543947570939359	"IS06"
"RORA"	"RORA"	-0.624182773052186	-0.269916490490907	0.0653837397591639	0.181336818008496	-0.222984737711827	0.543533168996512	-0.254908694702039	0.348574774411153	-0.177352868344321	"S01"	0.543533168996512	"IS06"
"CD40LG"	"CD40LG"	-0.387611928295592	0.221512557821017	0.129865577610274	-0.304415638202337	-0.0308383424608552	0.536895983339678	-0.366736957911398	0.371591004049471	-0.289174173917061	"S01"	0.536895983339678	"IS06"
"RPL39"	"RPL39"	0.328605266425669	-0.756160676054166	0.0563126272409081	0.149710800838754	0.345360928774876	0.52347517154981	0.114441748411447	-2.4648070280828	0.104462909405532	"S01"	0.52347517154981	"IS06"
"MT-CO3"	"MT-CO3"	0.30081453974077	-0.844991099123795	0.0314154354625663	0.16828069357671	0.341893428445369	0.522259982341052	0.356106118886676	-2.93938714019057	0.446092494585962	"S01"	0.522259982341052	"IS06"
"RPLP1"	"RPLP1"	-0.132279711249969	-1.81954915770594	-0.0855606144667136	0.0309205172680426	0.286688612044226	0.515213025428809	0.0398745823424575	0.40572434465983	-0.132172911962296	"S01"	0.515213025428809	"IS06"
"MAL"	"MAL"	-0.201314140557479	-0.0468452979705966	-0.13227989952958	-0.167651918125571	0.00398318032045708	0.50891190984053	-0.160059231320171	-0.111219155076692	0.239132394735382	"S01"	0.50891190984053	"IS06"
"KLRB1"	"KLRB1"	-0.587234228500662	-0.232156895313204	0.452222513026089	-0.279001993629261	-0.0249537112179825	0.501910008694943	0.0685747899375822	0.0646363320088795	-0.598410196087724	"S01"	0.501910008694943	"IS06"
"RPS27"	"RPS27"	0.219092819045006	-1.68522911415108	-0.212680461200655	0.0168598138608038	0.447647546048652	0.485254593369515	-0.106303308935296	-0.185571069951348	0.0467861653448882	"S01"	0.485254593369515	"IS06"
"ETS1"	"ETS1"	0.110172473546064	0.374959360791956	-0.166984959425158	-0.351120899682402	-0.403255317609958	0.480279404784403	0.165431705538709	0.184747074475534	0.409142325930381	"S01"	0.480279404784403	"IS06"
"ABRACL"	"ABRACL"	-0.0522048204194378	-0.334410335342509	0.10075213539776	-0.222573004547126	-0.192476912513813	0.479642693496658	0.0923123637032469	0.0562961118993822	0.0847732948378125	"S01"	0.479642693496658	"IS06"
"RPS28"	"RPS28"	0.277708831409115	-1.62778117734764	-0.114016254299788	0.00795544132171151	0.356322001824907	0.461672128675401	0.0281686480645716	-0.451251656108359	0.115188307125676	"S01"	0.461672128675401	"IS06"
"MT-CO2"	"MT-CO2"	0.375794095796094	-0.877214451744632	0.192219567140579	0.150283908375895	0.294855162032348	0.453708711654421	0.404577738130262	-3.0571079533786	0.423375698733951	"S01"	0.453708711654421	"IS06"
"AAK1"	"AAK1"	-0.00738044398159478	-0.18007908712776	-0.152483432116477	-0.0931134273302882	-0.275990694980026	0.451395844864063	0.153338813192341	0.136305014341911	0.213202876849448	"S01"	0.451395844864063	"IS06"
"MT-CO1"	"MT-CO1"	0.357888763916028	-0.943087568019295	0.229843553416604	0.148922764369142	0.373668363908013	0.44530196630361	0.393142058357589	-3.21030141258601	0.408307813252732	"S01"	0.44530196630361	"IS06"
"TNFRSF25"	"TNFRSF25"	-0.265930876320844	0.0796231157639621	0.0644922068078783	-0.153857466937894	-0.0962227359388006	0.428838442962322	-0.220158719040983	0.202133092419058	-0.11306841314563	"S01"	0.428838442962322	"IS06"
"RPL36A"	"RPL36A"	0.0201689226130453	-1.20554411868218	-0.0508343338493657	0.0341967137091809	0.408450104332371	0.41383785729927	0.0930593146850454	-0.750153728530891	-0.126039924585799	"S01"	0.41383785729927	"IS06"
"PIK3IP1"	"PIK3IP1"	-0.0812592248141744	0.186270152483846	0.134826661025038	-0.28041362575324	-0.149489097765319	0.411337635965163	0.150328891380041	-0.11198726471411	-0.3457609373387	"S01"	0.411337635965163	"IS06"
"CD28"	"CD28"	0.0921249226177308	-0.178457286557857	-0.306642053306478	0.165135802100017	-0.207708777382091	0.409768948152235	-0.373753585356405	0.313914437268873	0.22306350037808	"S01"	0.409768948152235	"IS06"
"RPL38"	"RPL38"	0.0582839562459512	-0.994921013093903	-0.194672037641304	0.153622412586631	0.243954465206237	0.409019974880593	-0.0819546384101346	-0.478808936125892	0.0674462303604948	"S01"	0.409019974880593	"IS06"
"RPL36"	"RPL36"	0.17101908160913	-1.47344918687823	-0.191388446237848	-0.0244167540265634	0.367408188325492	0.397362514296558	-0.0115202591779466	0.198600325350016	-0.212887762424966	"S01"	0.397362514296558	"IS06"
"NSMCE3"	"NSMCE3"	-0.057259738525265	-0.0873201644124599	-0.17062614808913	0.189401534326233	-0.0666673963444774	0.396460794541049	-0.207930670965899	-0.495091145248597	0.139783148139398	"S01"	0.396460794541049	"IS06"
"ITM2B"	"ITM2B"	-0.031484775663487	-0.0619615598091986	0.0121280736979296	0.122621953458093	-0.461140298270972	0.386797987433122	0.0312249162064479	-0.181408461495003	0.370320568883476	"S01"	0.386797987433122	"IS06"
"LYSMD2"	"LYSMD2"	-0.0916013577874814	-0.323201535642859	-0.00171075603127238	-0.217164386629977	-0.143553308291306	0.380002539615687	0.319774276372534	0.0122405509546997	0.147104206551673	"S01"	0.380002539615687	"IS06"
"PPP2R5C"	"PPP2R5C"	0.133473353448538	-0.182539158183157	-0.119095138630174	0.0169408164664413	-0.117330602152181	0.378175248445199	0.217556862647638	-0.672183896293949	0.103046603208145	"S01"	0.378175248445199	"IS06"
"TMA7"	"TMA7"	0.299897598964982	-0.594142351455082	0.10469109226732	-0.328256111414267	-0.10032194160759	0.375724475656247	0.337119268885053	-0.333177002958275	0.268902837642748	"S01"	0.375724475656247	"IS06"
"FLT3LG"	"FLT3LG"	0.022079327050256	-0.0841665601598544	-0.019193433278266	-0.150526224483536	-0.10847975651827	0.365395800200846	-0.0401153954807703	-0.0246164969877947	0.0723988325107123	"S01"	0.365395800200846	"IS06"
"PBXIP1"	"PBXIP1"	-0.149892576613084	0.124159708167058	-0.0236755060880878	0.136648219981619	-0.301383722034383	0.359846915835308	-0.256592889328999	0.117921098315639	0.00752904333942881	"S01"	0.359846915835308	"IS06"
"RPS16"	"RPS16"	-0.188388542633762	-1.34215958310784	-0.331171501494918	0.225970923120108	0.336417211214621	0.358447118210213	-0.17302712736835	0.324663267368729	0.0459662347721216	"S01"	0.358447118210213	"IS06"
"RPL28"	"RPL28"	0.252472801598512	-2.02007062665847	-0.208722441012966	0.266528354819464	0.34654958350073	0.35740874738701	-0.0807883027113844	0.0361290376813513	0.0321635605045479	"S01"	0.35740874738701	"IS06"
"ITK"	"ITK"	-0.0333726262194709	0.159104013013688	-0.0742120587594528	-0.19178662072288	-0.197868472724374	0.353038669295392	0.0341284474001942	0.180298164659279	0.0556764094644075	"S01"	0.353038669295392	"IS06"
"RPS29"	"RPS29"	0.0189913769865985	-0.813785692173482	-0.0834327506168444	0.199193237769167	0.325688324468638	0.346175716209039	-0.0212988824057076	-1.07173498953479	-0.0486387520405498	"S01"	0.346175716209039	"IS06"
"ARHGAP15"	"ARHGAP15"	0.179856368567859	-0.35481687697803	0.108271098147965	0.030043890157372	-0.286335880628091	0.340924335688418	0.0248348262352804	-0.0903314709418799	-0.0622649639278853	"S01"	0.340924335688418	"IS06"
"PBX4"	"PBX4"	-0.174271696627291	-0.0752866916039219	-0.0184965341911509	0.103152426460002	-0.112594997077989	0.335894870798727	-0.239380140495341	0.0633607083794554	-0.12604278807328	"S01"	0.335894870798727	"IS06"
"CD48"	"CD48"	0.296402095199919	-0.240887874398283	-0.193162846375806	0.0275560779142909	-0.379127186131099	0.332132905654353	0.0730881848806023	0.315900794174649	0.16642454766291	"S01"	0.332132905654353	"IS06"
"RPL14"	"RPL14"	0.25377729733859	-1.46450560251608	-0.0448658491920106	0.0807282968221089	0.235427329302608	0.326168141999888	-0.127821270236075	0.00824879580139727	0.00930841053854181	"S01"	0.326168141999888	"IS06"
"IL2"	"IL2"	-0.129028400504963	0.00390446360637203	-0.138973277223725	-0.0069750662836406	0.0559546821909393	0.322183263875408	-0.130950611313231	-0.127046934553216	-0.125572282634295	"S01"	0.322183263875408	"IS06"
"CIB1"	"CIB1"	0.0891114896990592	-0.354070593245561	-0.0505834301912861	0.018397730620655	-0.208796737010385	0.31794815759231	0.0508965455254914	0.123647399497612	0.0199012586021509	"S01"	0.31794815759231	"IS06"
"DENND2D"	"DENND2D"	0.265103300968193	-0.0233802404505357	0.0419969339256238	-0.311602256531671	-0.237905846234328	0.315978722281138	0.0213277086935288	0.204990810967072	0.17193518226703	"S01"	0.315978722281138	"IS06"
"FAM102A"	"FAM102A"	0.13479676848428	0.310894238790721	-0.245570888907772	-0.0518536007486039	-0.0941965365336077	0.311749496438396	-0.0834434175254936	-0.0716962191435694	-0.129185235312877	"S01"	0.311749496438396	"IS06"
"IKZF1"	"IKZF1"	0.046925131981813	0.0275681622605089	-0.0598878770665232	-0.29780344230932	-0.126315749351604	0.30277932172812	0.145903339174361	0.11928731684208	0.194798216237202	"S01"	0.30277932172812	"IS06"
