"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"State"	"MaxFC"	"InitialState"
"TYMS"	"TYMS"	-0.216820422132267	-0.225428158781316	-0.224056072144575	-0.104945159330794	-0.288021928256044	-0.146894571918835	2.76520031805058	0.161730892439123	-0.124063522319646	-0.26497175587717	-0.223774240853296	-0.202218941175609	"S01"	2.76520031805058	"IS07"
"TK1"	"TK1"	-0.170839328638853	-0.153114582097881	-0.234101381824467	-0.113190411315994	-0.30965667393674	-0.188405003318649	2.69032349538839	-0.0431981818467262	-0.131323762662593	-0.255857207177902	-0.126357902486285	-0.156246918917229	"S01"	2.69032349538839	"IS07"
"AURKB"	"AURKB"	-0.187408216019076	-0.163518309774549	-0.196416940903105	-0.137683513281737	-0.220485863763587	-0.207048292464563	2.61049499018538	0.0367290576104942	-0.193060683347681	-0.196920926358005	-0.157791616725634	-0.14876311706967	"S01"	2.61049499018538	"IS07"
"PCLAF"	"PCLAF"	-0.186073700950055	-0.221289334653055	-0.216158694976377	0.018723957332364	-0.264169945137281	-0.0111856240704642	2.57912841357359	-0.279340177203959	-0.0528809301547142	-0.180029372726564	-0.295109380755796	-0.140723436723292	"S01"	2.57912841357359	"IS07"
"UBE2C"	"UBE2C"	-0.244522130337443	-0.154868887194172	-0.210813015806431	-0.144484616056164	-0.164295803248654	-0.19945786423546	2.57109036356755	-0.0189617680556619	-0.0960425143820316	-0.206792377705152	-0.16594085126042	-0.224464494170214	"S01"	2.57109036356755	"IS07"
"CDK1"	"CDK1"	-0.193249933937449	-0.250525029706638	-0.203256637761493	-0.189966327382813	-0.247214134449247	-0.0906540867385574	2.45498929505238	0.27928553557689	-0.261334431770595	-0.123198062878675	-0.0704325982500831	-0.130582773642039	"S01"	2.45498929505238	"IS07"
"ZWINT"	"ZWINT"	-0.246314990628114	-0.0730451885595568	-0.0916024343533164	-0.12445654660334	-0.20508975472984	-0.2674396610463	2.16752539136265	0.207065639960737	-0.215283097786059	-0.16499879842309	-0.183644556262327	-0.0943215571220096	"S01"	2.16752539136265	"IS07"
"GTSE1"	"GTSE1"	-0.113990272259528	-0.190991444737361	-0.198795765110554	-0.183971477661934	-0.195460560221282	-0.183548162894363	2.10532731787294	0.162222672249199	-0.0391896275371687	-0.170919865073019	-0.152880576208104	-0.161528186874771	"S01"	2.10532731787294	"IS07"
"CKS1B"	"CKS1B"	-0.230406716309372	-0.05003357558922	-0.251293457771166	0.000602765504239277	-0.165913531705644	-0.290070088991232	2.09717899878946	-0.216785313693756	-0.135364139039903	-0.090407259119519	-0.0336711725222607	-0.144273275978156	"S01"	2.09717899878946	"IS07"
"CENPE"	"CENPE"	-0.222067629200536	-0.150906714462102	-0.184149026071786	-0.149801428135916	-0.195780582712677	0.0497518632505007	2.08331164135144	0.268957721620328	-0.217392327033024	-0.14343670180704	-0.193142897146894	-0.032998640916667	"S01"	2.08331164135144	"IS07"
"SHCBP1"	"SHCBP1"	-0.163832466613157	-0.24011767428132	-0.190399309136665	-0.122647827220005	-0.205200450095579	-0.178033495284402	2.08135623204829	0.268999542200712	-0.196930894134793	-0.0285288288445861	-0.0902422733826636	-0.15400512866951	"S01"	2.08135623204829	"IS07"
"STMN1"	"STMN1"	-0.512881982207973	0.0413300612547506	-0.0916099472685514	0.085043450523008	-0.544858903813136	-0.284695990116339	2.08063041267952	-0.476752972089092	-0.173368538906109	0.312219525734248	0.067063042561509	-0.105502849293585	"S01"	2.08063041267952	"IS07"
