"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"State"	"MaxFC"	"InitialState"
"FCGR3B"	"FCGR3B"	-0.106233280246005	-0.130482977080915	4.00205251880438	-0.152367900068325	-0.133508971832477	-0.0965261243370469	-0.144967166558368	-0.143595534756579	-0.113704518135805	"S01"	4.00205251880438	"IS03"
"CXCR2"	"CXCR2"	-0.022316163165146	-0.127121760643971	2.98210077419375	-0.134273857364381	-0.0540009042517269	-0.13064973165954	-0.114230666489451	-0.0885832287345781	-0.0555078678306722	"S01"	2.98210077419375	"IS03"
"CMTM2"	"CMTM2"	0.0276062676920762	-0.119518928316665	2.46985682538145	-0.0397010853903037	-0.160527523528157	-0.0872214993382056	-0.122901811192719	-0.0519665518287369	-0.0730448295757431	"S01"	2.46985682538145	"IS03"
"ADGRG3"	"ADGRG3"	-0.161079673916723	-0.0520500359051894	2.21713278290062	-0.134393623258216	-0.159031417656537	0.269994102801418	-0.154675425172022	-0.0248218245262461	-0.131566587489695	"S01"	2.21713278290062	"IS03"
"FFAR2"	"FFAR2"	0.0615840790372274	-0.117112572930324	1.81436375549176	-0.170704944066432	-0.168287207602505	0.00410714870922896	-0.0431919128180932	0.0667327921473084	-0.078233875710412	"S01"	1.81436375549176	"IS03"
"HCAR2"	"HCAR2"	0.0310451885097534	-0.327305257908716	1.63648163903977	-0.171770246320536	-0.170998941231467	-0.18068466947112	0.0488893788754857	0.388563525888511	0.0495153323876933	"S01"	1.63648163903977	"IS03"
"TNFRSF10C"	"TNFRSF10C"	0.0420872738702876	-0.0631630019750083	1.44811415938961	-0.0628227252644203	0.0286063202212298	0.0202576254711276	-0.0952169174091135	-0.0471383527673844	-0.129945577254295	"S01"	1.44811415938961	"IS03"
"HCAR3"	"HCAR3"	-0.195941739051028	-0.283223862016518	1.44617483918135	-0.2502761999167	-0.134027931311419	-0.270453230057397	0.190013363678578	0.491116279331627	0.117309477077154	"S01"	1.44617483918135	"IS03"
"STEAP4"	"STEAP4"	0.381748372090115	-0.154238421000912	1.37606049217767	-0.0641870482037176	-0.185382396670729	0.0236666208362014	-0.221698607772427	0.190768249985972	-0.185800928163471	"S01"	1.37606049217767	"IS03"
"PROK2"	"PROK2"	0.108657955210913	-0.135252113090275	1.36615080720664	-0.0545934326813371	-0.159234241117806	-0.040475153947418	-0.102560888019653	0.15326946673375	-0.0628794170252072	"S01"	1.36615080720664	"IS03"
"MGAM"	"MGAM"	-0.119866371856468	-0.0822098056980054	1.18518480038385	-0.0415152963288882	-0.0464399202223887	0.036504198829449	-0.0660522558930176	0.0163371234995372	0.0243746211376213	"S01"	1.18518480038385	"IS03"
"GBP5"	"GBP5"	-0.205930506430916	-0.131682246476853	1.12411208003988	-0.227686211149826	0.0968461638898948	0.0962159795624521	-0.00138606606590123	0.261458384961686	-0.0470835309740609	"S01"	1.12411208003988	"IS03"
"TNFAIP6"	"TNFAIP6"	-0.365627385428502	-0.532334044067822	1.12296276475033	-0.450647852491416	-0.446336545246212	-0.127636993822072	0.299260535001833	0.23876433435425	1.00421931187154	"S01"	1.12296276475033	"IS03"
"IVNS1ABP"	"IVNS1ABP"	-0.22078658959173	-0.511629497029169	1.09213893282198	-0.201761227420662	-0.0791003407434565	1.02228842570174	-0.300882694002048	0.0682967301045051	0.238346796243734	"S01"	1.09213893282198	"IS03"
