"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"State"	"MaxFC"	"InitialState"
"AICDA"	"AICDA"	-0.145395597901423	-0.122669899405907	-0.12805015815178	-0.120492926366512	-0.129988584410533	-0.119751583505356	-0.139490855511733	-0.12200349376768	-0.118728898164318	3.28038607400065	-0.126551521710471	-0.136939193520665	-0.118970807084783	-0.117913715907131	"S01"	3.28038607400065	"IS10"
"NEIL1"	"NEIL1"	0.00268515096126979	-0.172603684555202	-0.0943261673252951	-0.203780928167455	-0.128896545945666	-0.0686904619293651	-0.123878310418008	-0.170273274359775	-0.146020558343751	3.11853352814948	-0.17262204529386	-0.214951789938627	-0.255714495186082	-0.253442395471181	"S01"	3.11853352814948	"IS10"
"VPREB3"	"VPREB3"	-0.0885218649804215	-0.135417040878384	0.261618547704858	-0.245175827953467	-0.2514798226993	-0.165750365574161	-0.127392705493083	-0.297810660128505	-0.152498164442897	3.11579747401118	-0.107771338330327	-0.236494076442657	-0.0588570226818483	-0.321343676374628	"S01"	3.11579747401118	"IS10"
"ACY3"	"ACY3"	-0.176394626404886	0.0324479752589845	-0.118057035430726	0.10127962609311	-0.118376359270104	-0.016072660919032	-0.165893747973164	-0.148874356912844	-0.183055144177923	3.0998594284445	-0.15931555155358	-0.114133111656081	-0.183428117169321	-0.181798303527267	"S01"	3.0998594284445	"IS10"
"SERPINA9"	"SERPINA9"	-0.134872757738685	-0.113791805688773	-0.118782674359334	-0.111772388584103	-0.120580809233874	-0.111084699564922	-0.129395364328371	-0.113173630396691	0.0579971181620209	2.96397526184817	-0.117392500017027	-0.127028375956511	-0.110360430945102	-0.109379845532827	"S01"	2.96397526184817	"IS10"
"MYBL2"	"MYBL2"	-0.22539623447508	0.545658902832515	-0.183506491284556	-0.2659545580468	-0.161738510753891	-0.102589707696391	-0.15291984652132	-0.127335335595869	-0.128581132986612	2.90853696827315	-0.157298511242193	-0.0671296525019411	-0.0814426726691322	-0.00167680375279757	"S01"	2.90853696827315	"IS10"
"PAX5"	"PAX5"	0.00661284678200377	-0.115648966559665	-0.135905414832199	-0.10243727484142	-0.129763864417766	-0.158602515906743	-0.157371120847126	-0.161585012027012	-0.15724804139107	2.58367553173212	-0.122250225398587	-0.140934045518587	0.125480498016685	-0.00836732857862742	"S01"	2.58367553173212	"IS10"
"CD79B"	"CD79B"	-0.520240929953962	0.404721876278057	0.0795883969354977	-0.200542094784152	-0.0563648404901387	-0.00732412076942373	-0.0225457262328566	-0.181737103926409	-0.0459474321025593	2.27984938885633	-0.281249538620761	0.239876277171039	-0.222058524642216	-0.464647940342226	"S01"	2.27984938885633	"IS10"
"FCRLA"	"FCRLA"	-0.0603710648797426	-0.176831258243964	-0.0331502152602883	-0.0485697019037819	-0.163802987789031	-0.120956723812542	-0.115201220567737	0.109487634401406	0.0299989007828368	2.17521301776586	-0.189626712999179	-0.11073533678788	0.174773130031297	-0.00893638446139104	"S01"	2.17521301776586	"IS10"
"BIK"	"BIK"	-0.21111753628858	-0.0829883689707715	0.410139696560116	-0.0645322515818005	-0.148810519077225	0.227556781712748	-0.0822857085437936	-0.0181497676681722	-0.0589938286958254	2.07866438622316	-0.180669335629054	-0.182188967149441	-0.282790810606985	-0.352676212310563	"S01"	2.07866438622316	"IS10"
